,tweet,sarcasm,sentiment,dialect
2443,فيديو مبتعث يعمل مطعم متنقل حصوله الماجستير بريطانيا,False,NEU,msa
2444,«الاوروبي» يمدد العقوبات الاقتصاديه روسيا,False,NEU,msa
2445,شارك الرابطه معلوماتك جامعه ليفربولجامعاتبريطانيا الرابطهالسعوديهبريطانيا,False,NEU,msa
2446,بالفيديو ريكي مارتن يعلن خطوبته الفنان السوري يوسف,False,NEU,msa
2447,بيني وبينك يجي هجر وغيابترا انت اللي ماهو بعادي غيابه,False,POS,msa
2448,شاهد معامله جنود اسراءيل لطفل يحمل شنطه مدرسيه حتي العلم يريدون يحرموهم فلسطين,False,NEG,msa
2449,عاجل اليمن تعرف اسرع هاتف اندرويد الولايات المتحده عاجل اليمن تعرف اسرع هاتف اندرويد الولاي,False,NEU,msa
2450,اساس عالميه النصر عالميه مدريد وبرشلونه ومانشستر ياخي بالله ماتسحتون تقولون عالمي,True,NEG,gulf
2451,كتاب جميل يحدث منازلنا نراه تقديمد وليدفتيحي كيفاحميطفلي معرضالكويتالدوليللكتاب,False,POS,msa
2452,باقي بس عرض لفلم فانتاستيك بيتس وير تو فايند ذيم قيل قصه هاري بوتر سنه اخخخيرا,False,POS,msa
2453,ملعونه الحياه بدونكمشتاقاسمعجملهعادلامامكلمهلحبيبقلبكحباعميولسهيامصرهشوففيكي,False,NEG,egypt
2454,تقرير مصور صف مدرسي للاطفال المرضي بمشفي القدس,False,NEU,msa
2455,نوعيه افلام تدخلها تحس انت انسان محترم كده نضيف زي مثلاافلام عمروسلامه لامءخذه وفيه افلام تحس انك حقير وعيل سرس زي افلام السبكي,False,NEG,egypt
2456,افضلطقملروجرفيدرر نهاءي الماسترز للاسف ماعندي صوره,False,POS,msa
2457,محمود الشامي العضو الجاهل لاتحاد الكره يقول شعار رابعه محرم دوليا الجهل نوروون,True,NEG,msa
2458,استقبل مدير الجامعه فازا بالمركزين والثاني مسابقه حفظ القران الكريماليومالعالميللغهالعربيه,False,POS,msa
2459,دوروا سوريا هتلاقوه بيجاهد داعش زي انس يا جماعه وسخه,True,NEG,egypt
2460,ياخي ترا سالفه ميسي المنتخب وش ذنب المدرب اللاعبين زلايب,True,NEG,gulf
2461,الاهليضمكدوووريالمحترررفينالحب اشد انواع السحر فاعليه,False,POS,egypt
2462,دونالد ترامب توجه لاداء فريضه الحج,True,NEG,egypt
2463,نور,False,POS,egypt
2464,اعتصام عمال بلاتنيوم داخل ميناء السخنه حاميهاحرميها الجيزه,False,NEU,msa
2465,فيسبوك الاردنيون يجتمعون قلب رجل الكرك قلعتنا,False,NEU,msa
2466,يوجد صندوق تفاح وفيه تفاح فاسده استخرج هاذي التفاحهالهلالمكوشعليالكل,True,NEG,msa
2467,العاهره الامريكيه هيلاري كلنتون تهدد الكويت والسعوديه وقطر وتتهمهم بدعم الارهاب وتتطاول مساجدنا وديننا الحنيف,True,NEG,msa
2468,جيميينني وربي نمنم بحركاته هذي,False,POS,msa
2469,زيت الكثافهعلاجللصلعالقشرهتساقط الشعريقوي الجذوريعطي لمعانبفترهوجيزهالطلبوتس٠٥٥٨٩٤٥٨٢٢الاماراتالعراق,False,NEU,msa
2470,اكتشفت ربعي كلهم يخططون الحين يبون يشترون لي حق عيدميلادي عادي استحي,False,POS,msa
2471,جيش تقصدون طيران روسيا المجرم ام عصابات ايران ام مرتزقه حزب الله ام عصاءب العراق تكالبتم عزل يملكون قوت يومهم,False,NEG,levant
2472,زوجه ابراهيمحسن ٩٠دقيقه ساءق شركه اوبر تعدي ابني بمطواه طالبا الموبايل فرفض ادي جروح قطعيه جسده,False,NEG,msa
2473,تكريم نووي لبيريز اسراءيل العربيه,False,NEU,msa
2474,لافروف موسكو تامل باجراء حوار بناء بشان الازمه سوريه لقاءي وزيري خارجيه ايران تركيا,False,NEU,msa
2475,جديد مستوي الارجنتين بلاد الفالصو بدون الذهبي ميسي,True,NEG,egypt
2476,تكفين يا ملاك انا تكفين حالتي ماتسمح اشتري جوال ابي ايفون تكفين,False,NEU,gulf
2477,ايران تصفي ضابطا اهوازيا رفض القتال سورياالتدخلاتالايرانيه الشرقالاوسط الخليج,False,NEG,msa
2478,الخير لكم وللحياه,False,POS,msa
2479,اختبار حقيقي لمجلس الشعب مستوي المسءوليه فيكتسب الشرعيه احترام الناس وامان يتواطا العسكري فيخسر شيء,False,NEU,msa
2480,برشلونه يتلقي ضربه موجعه اسبوع الفيفا يوروسبورت عربيه برشلونه,False,NEU,msa
2481,فيديو شبيحات الاسد المتطوعات يستنجدن الهوس الجنسي لضباط بشار اجبرونا الدعاره,False,NEG,msa
2482,بيقولوا مبارك خد براءه قضيه دلوقتي ولسه قضايا كتير مستعجلين الراجل ليه خليه يلمهم براءه براءه كلهم ورا حقه يا جدعان الله,False,NEG,egypt
2483,حلب المحرقه والتهجير يذكرنا بما حصل للفلسطينيين الصهاينه نظر واشراف بريطانيا وحلب اشراف الروس والامريكان ايرا,False,NEG,msa
2484,خلودبنتمسفرتحبطلالبنمشعل اللي الدمام ويبي توصيل ينط خاص ططفران والله كريم اوبر الدمام الرياض الراشد الخبر توصيل مشاوير,False,NEU,gulf
2485,الامم المتحده الاخلاء يتهدد مبني القدس لصالح المستوطنين الاحتلال,False,NEU,msa
2486,واشنطن اوباما يعد بانتقال هادء و«حذر» للسلطه,False,NEU,msa
2487,رحم الله سامر سليمان مصريا مخلصا لقيم المواطنه والديمقراطيه واستاذا متميزا للاقتصاد السياسي رحمه الله,False,NEU,msa
2488,١اووووه لعبه تشغل الناس ٢لا يصير طلع سبب يمنعهم الانشغال١خطه بوكيمون٢نعم ابدا التنفيذحرام وحرام,False,NEG,gulf
2489,باراك اوباما ينهي ولايته الرءاسيه بالاعتذار الرءيس بشار الاسد,False,NEU,msa
2490, الحريري يولم بيت الوسط شرف المسءول,False,NEU,msa
2491,رامي عياش الحق معادك,False,NEU,egypt
2492,لاحظت المتابعين اللي انتابع فيهم عندهم معايير مزدوجه احداث تظخم عندهم احداث تتفه اني اراكم منافقين ليبيا,False,NEG,msa
2493,قلبنا جمد عليهم معرفوش السبب فيهممشتاقاسمعجملهعادلامامكلمهلحبيبقلبكحباعميولسهيامصرهشوففيكيعليهويمصر,False,POS,egypt
2494,ابك يولد هاري بوتر فلم للورعان شجره تمشي وضفدع يتكلم ميخييييس,True,NEG,levant
2495,فعلا بريء اعترافه تغير قدام الثاضي مرتين يعني حتي القضاء بقا نوثق مزرعه,False,NEG,msa
2496,اقوال المقاومهالجنوبيهللحوثيين صعده كنتم احفاد الاسد فنحن احفاد حمزهوان كنتم جيش حزب الله فنحن جيش,False,NEU,msa
2497,فيدرر,False,NEU,msa
2498,دقيقه معتز بالله عبدالفتاحالمناظره الاخيره صالح هيلاريكلنتون,False,NEU,msa
2499,كفايه ربنا دي النهايه قريبه,False,NEU,egypt
2500,اسلوب النعامه النقاش غبي اسلوب حيواني الاساس داروين هيهيص معانا اليومين دول,True,NEG,egypt
2501,غردبذكرالله اذكرالله حصنالمسلم,False,POS,msa
2502,فن ارقي الفنون العالم تعلمناه حبيبنا المصطفي فن تجميع القلوب تعالوا نتعرف الفن ده,False,POS,egypt
2503,احيانا جوجل مبيفدنيش عادي,False,NEG,egypt
2504,ربي اني استودعتك حياتي فلا تجعل مرها يسقيني حلوها يلهيني,False,POS,msa
2505,نجران تهنءه ابطال الجيش اليمني واللجان الشعبيه جبهه البقع بمناسبه ذكري المولد النبوي الشريف,False,POS,msa
2506,جمعيه تاسيسيه كافره,False,NEG,msa
2507,فهدالمولد مبدع صديق ميسييضيع انفراد ويسجل الطاءر طريقه باستنوما رميت اذ رميت الله رما,False,NEU,msa
2508,بحب بلدي بكره الدم والظلم سانتخبالسيسي تحيامصر,False,POS,egypt
2509,تعلم المنطقه استعادها الروس والايرانيون حلب الشرقيه تتجاوز مساحه حلب تخيلو حجم الاشتغاله الاعلام لعبها والكل شربها,False,NEG,egypt
2510,تصريح روبيرت دينيرو رايه دونالد ترامب,False,NEU,msa
2511,المفروض كنا بنتجه لنقابه الصحافيين وبلغونا محاصره بالبلطجيه ونازلين رقص تتشل الايادي طب ارقص معاااكو عار انله,True,NEG,egypt
2512,اعزاءي الشيعه بساحه الاراده صج يعني مالكم داعي اشوف الحين ماتبون طاءفيه القدر,False,NEG,msa
2513,واصبحت حياتي بالجامعهاو تعبانه الجامعهاو نايمه لانو مروحه الجامعه نايمه لانو بكره عندي جامعه,True,NEG,egypt
2514,مرحبا باختفاء الناس حياتي بدون اسباب مقدمات,False,NEG,msa
2515,٣٥٠ جده باقي المدن شحن شنطفنديبولغاريغوتشيروبرتوكفالي شنطفندي شنطتقليددرجهاولي شنطبناتالجامعه,False,NEU,msa
2516,افضلطقملروجرفيدررككل طقم ينافس الثانيبس الاسود والابيض فخاامه بعدها فخامه❤,False,POS,msa
2517, سامي البشير المرشد نتمني وزير اوباما كيري يبتعد الملف اليمني كفانا شرا,False,NEU,msa
2518,جربتي امازون,False,NEU,egypt
2519,طب مدام كده انا بشرب قهوه تركي عشان الشهدا وضد اللي باعو دمهم وبيشربو شاي,False,NEG,msa
2520,اشاهد مباراه النصرالاتحاد العيارينقلتكانيدا ذبحنا بالدفاعقالزوجوه يلعب مهاجم النصر,False,POS,msa
2521,يارب اكرهكم تسرقون,True,NEG,gulf
2522,فعاليات متميزه لطلاب صف بمناسبه المولد النبوي الشريف اشراف الراءعه عايده العمريه,False,POS,msa
2523,«الاسكندرانيه» الاكثر بحثا «طريقه عمل العاشورا» «جوجل»,False,NEU,egypt
2524,الولاياتالمتحده شرطه نيويورك تنشر فيديو للص يسرق عبوه تحوي كجم السباءك الذهبيه ويفربها بمنتهي السهوله,False,NEU,msa
2525,سيتم الرد حضرتك اقرب وقت يا فندم,False,POS,egypt
2526,جمال خيال حقيقه جميل درر حكم اعجبني حكمه بقلمي شوق بوح شعر قصيد رتويت الاف متابع,False,POS,msa
2527,اليمنيه بحث سبل التعاون المشترك صندوق النظافه ومءسسه حضرموت للاختراع,False,NEU,msa
2528,ملعون وهابي سعودي يزعم اهل السنه مءيد لداعش لافروف حملهدفي سعدلمجرد عكار الهرمل النجمه الصين,False,NEG,msa
2529,عز الشتاء القارس وحينما ظننت البروده سيطرت وجدت بداخلي صيفا صحوا البرت كاموسالمفروض ندفا بالكلام ده,False,POS,msa
2530,اه يارقه اسمي فمه❤️,False,POS,msa
2531,ﺛﺎﺋﺮ ﺍﻟﺸﺮﺍﻓﻲ ﺍﺑﻦ ﻣﺨﻴﻢ ﺟﺒﺎﻟﻴﺎ ﻏﺰﺓ ﻳﻄﻠﻖ ﻋﻠﻲ ﻣﻮﻟﻮﺩﻩ ﺍﻟﺠﺪﻳﺪﺓﺍﺳﻢ ﺑﺸﺎﺭ ﺍﻷﺳﺪ ﺍﻟﻔﻜﺮ ﺍﻟﻤﻤﺎﻧﻊ ﻣﺴﺘﺸﺮﻱ ﺑﺎﻷﻣﺔ ﺍﻟﻌﺮﺑﻴﺔ,True,NEG,msa
2532,مااحلي شعارك ومدافعك ياقنرررزز ارسنال,False,POS,msa
2533,بطريرك الارثوذكس موسكو يعلن ماحدث حلب هوانتصارللصليبخطيب جمعه طهران ماحدث حلب انتصار,False,NEU,msa
2534,وضعكم بدون ميسي يا تافهين يا عاهات,True,NEG,gulf
2535,النفاق مدمر طاهر ابو زيد يلغي المشاركه العاب الفرانكفون ويحول ميزانيه المشاركه لصندوق دعم مصر المناصب للمصاءب,True,NEG,egypt
2536,توصيات اسهم كلناحسينعبدالغني اذكراسممعلملهفضلعليك مبروكفكحصارحلب بلقيستستخفبالشعبالسعودي حاليااهتماميقر,False,NEU,egypt
2537,شركالرافضهفيعاشوراعاشوراالعراقالكويتايرانمصري حسينيهجاي ياكل,False,NEG,msa
2538,مداخله نجيب ساويرس الابراشيي وتعليقه استقاله دالبرادعي واحداث مصر,False,NEU,msa
2539,غيبه طول انتظار الاستقرار جديد النورقطع الهرم,False,POS,msa
2540,اوباما يتعهد بارسال الناس المريخ غضون وعد الرءيس الامريكي باراك اوباما الثلاثاء بالعمل,False,NEU,msa
2541,حاسب يظهر امازون بسعر يبدا,False,NEU,msa
2542,عشاق فيروز بدمشق يحتفلون بعيد ميلادها,False,POS,msa
2543,تفعل يا فيدررحرام حرام الله حرامنقطه النقاط يعجز اللسان وصفها كوكب التنس نفتقدك,False,NEG,msa
2544,اردوغان للقناه الاسراءيليه القدس للاديان الثلاثه وحماس ليست منظمه ارهابيه,False,NEU,msa
2545,بكل بلدان العالم الدوله تبذل شيء المواطن بمصر المواطن مطلوب بذل شيء الدوله وساخه,False,NEG,msa
2546,حلو حلو حلو حلو حلو,False,POS,egypt
2547,⛔ فلسطين حينما تجد الله شبر الحلقه الاولي,False,NEU,msa
2548,مين القارء اللي تحب تسمع يتلو ايات الله شاركني,False,NEU,msa
2549,ميلادفيروز اروع قيل فيروز,False,POS,egypt
2550,الاسبوع قراتلك مقال لجلبير اشقر وكلمه بوب ديلان لجاءزه نوبل ودراسه لعزمي بشاره,False,NEU,msa
2551,احمدشفيق يعود بنيسويفارحلبامرالشعبتيرانصنافيرمصريهمصطفيبكريسامحشكريمجلسالوزراءمسرحمصرهشامجنينه,False,NEU,msa
2552,القدسشرطه الاحتلال تعترف باطلاق نار قواتها قرب معبرالزيتون فجر ووقوع اضرار اصابات,False,NEG,msa
2553,كيري خارج الخدمهالا يعرف الهدنه انتهت يريد الملا كيري,False,NEU,msa
2554,سبيل الاادمان القاتل ميرنداتفاح شيكولااته شيبسي بتحب حااجه فيهم لاايك,False,POS,msa
2555,جستن بيبر ديبلو ابرزوها اغنيه اغنيه اختصار بدا الحفل العينات ال,False,NEU,msa
2556,هيلاري كلنتون ولن تنسي خيانه زوجها وسر تمسكها لانهم جيل يعرف الطلاق,False,NEG,msa
2557,حد هيموت سوريا ذنبه هيبقي رقبه المسءلين المصريين اللي فرحوا بالتصويت لصالح روسيا ملياراتالعمرهعليهويمصر,False,NEU,egypt
2558,عسي قربك يدوم لاخر سنيني ❤️,False,POS,msa
2559,كاس العالم للانديه مدريد كلوب امريكا تعليق حفيظ دراجي الساعهمقناه,False,NEU,msa
2560,تويته عشق الكيان الاهلي,False,POS,egypt
2561,مساعد العصيمي اللاعب السعودي دمره الجمر والثلج طبعا يقصدالجمر الدخون الثلج ايس كريم النصر الهلال,False,NEU,gulf
2562,عاجل روسيالافروف صعوبات باجراء محادثات جاده سوريا الاداره الامريكيه الحاليه,False,NEG,msa
2563,يلا شاكورنا بتصويت اليسا كرروا ماتقدروا,False,POS,levant
2564,زمن اغبر ويصير مشهور متابع ويسوي دعايات وياخذ الاف الريالات والحمدلله نعمه العقل والعقل نعمه,True,NEG,msa
2565,ملاحظه غريبه نطالب بشفافيه التمويل انصار مرشحين محددين يثورون ويكيلون الشتاءم يكاد المريب يقول خذوني,False,NEG,msa
2566,فيديو عبد المنعم ابو الفتوح حلقه القاهره الثلاثاء اغسطس,False,NEU,msa
2567,اهداء امي الغاليه,False,POS,msa
2568,رسميا باقه تتعاقد حق عرض مسلسل الزعيم عادلامام عفاريتعدليعلام رمضان,False,NEU,msa
2569,نيمار اكبر صنم صنعه الاعلام وعبده ضعيفي كره القدم الغريب الامر البرشلونين كانوا يتمنون اقصاء مدريد كرها خصم ثقيل تقديسا لعميل مال وكلب دولارات نيم اتريد مسانده نادي يوجد لاعب يحترمك مشجع ولن يحترم فريق سانده ورحب,True,NEG,msa
2570, باراك اوباما يشجع ابنتيه الالتحاق بالجيش,False,NEU,msa
2571,دول الخليج عباره حصاله بالنسبه لامريكا زباءن اقل موهوم يظن امريكا تعتبرهم حلفاء,True,NEG,egypt
2572,الثوره دي الاميين ماكانتش نجحت اصلا الاقل ده اللي انا شفته ينايراحنا بس مابنعرفش نكلم الناس صح والله اعلم,False,NEG,egypt
2573,نرجوا العرب والمسلمين يتابعوا احداث المسجد الاقصي فهي شان مقدسي خاص مسخمط,True,NEG,msa
2574,ميدي انكسار زحف لمرتزقه جيشالكبسه وتكبدهم خساءر كبيره العديد والعتاداليمن,False,NEU,msa
2575,غوتشي كروز الرومانسيه والروك اند رول,False,NEU,egypt
2576,زوجه ابراهيم حسن تكشف تفاصيل محاوله قتل نجلها يد ساءق شركه اوبر محاولته سرقه هاتفه الجوال مصر جريمه,False,NEG,egypt
2577,الناتو نرغب بحرب بارده جديده روسيا,False,NEU,msa
2578,فتح وجهت دعوات حماس الجهادالاسلامي لحضور المءتمر السابع فلسطين,False,NEU,msa
2579,ابو الفتوح اعمل مجموعه راءعه شباب الثوره واقول احب تقودوني للعمل نعمل كفريق يجرح فين,False,POS,msa
2580,مصر تصوت قرارين متناقضين بشان سوريه وامتعاض سعودي,False,NEU,msa
2581,نجمتي ومجرتي ليلي وحلمي♥️,False,POS,msa
2582,كلناااالدلمانيمات ماسك القران مات ساجد مات مكه يارب تختم حياتي بشيء الاشياء,False,POS,msa
2583,ماركا انضمامه لريال مدريد غاب راموس مباراه حصيله مدريد فوز تعادل هزيمه,False,NEU,egypt
2584,اليسا اختصرت جمال الكون كلوووو بروعه عيونك ✨❤,False,POS,levant
2585,المضحك الموضوع اني حتي ماقلت اعتبريني كافره واتركيني قامت تدعي لي بالهدايه وكاني اعرف اعبد ربي داعش,False,NEG,levant
2586,سلسله لقاءات للحريري بيت الوسط,False,NEU,msa
2587,ولعانه الحلقه اكيد نار منتظرين♥♡ ناديننسيبنجيم,False,POS,egypt
2588,اخبار العراق بالصور استعدادات العتبه العلويه لمراسم احتفال المولد النبوي الشريف,False,NEU,msa
2589,روبرت دنيرو دونالد ترامبمختصر مفيدمترجم للعربي,False,NEU,msa
2590,اللي مصممه اميركيه تمنح الاحذيه النايك لمسه انثويه حسابها انستا تقدروا توصوها غو,False,NEU,msa
2591,الدوري كله السنادي مفيهوش كوره لاعيب طفره باستثناء احمد الشيخ ومفيش مدرب برضه فرض طريقه لعبه دوري كله ممل,False,NEG,egypt
2592, جلسه وديه موقفي رفض الحوار الرءيس وجماعته وحزبه وملتزم بموقف الشارع الرافض للحوار بدون ضمانات موقف جبهه الانقاذ,False,NEU,egypt
2593,مثالا صارخا للتداخل حصل الاممالمتحده الولاياتالمتحده وتعبيرا ملامح مرحله جديده اخذ تتبلور عالميا,False,NEU,msa
2594,الوطن غضب اداره مهرجانالقاهرهالسينماءي,False,NEG,msa
2595,بتستاهل داءما بالتوفيق والنجاح رامي عياش,False,POS,levant
2596,فعل ينبح فلسطين اه صحيح يذبح اطفال سوريا كرمال فلسطين,True,NEG,msa
2597,ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههلا بس اضحك يقول ديبالا خليفه ميسي,False,NEU,egypt
2598,اليمن الحوثي الدور الاميركي العدوان تجرات السعوديه ارتكاب الجراءم بحق الشعب اليمني,False,NEG,msa
2599,تري الامور مستعصيه الشيء نظرت الباب ينظر تري الامور متجليه واضحه ومفهومه لديك حاول,False,NEU,msa
2600,كود رحله مجانيه اوبر بقيمه ٣٠ ريالاوبر,False,NEU,msa
2601,اردوغان حضور بوتين الاطفال حلب ينظرون السماء فيجدون الطاءرات تقصفهم للمشاهده,False,NEU,msa
2602,شمروخ الايد يغني والنار رمز احتفال جيت تلومني مش عالبال وتعيش الاولتراس بتحارب مر السنين الكورهللجماهير,False,POS,egypt
2603,امل تكرارها رءيسكم مرسي يحسن احسنت انا وغيري اليهلكنه بدا الكذب واخلاف الوعود وتسبب اساله الدماء يستحق الاحسان,True,NEG,msa
2604,اغلبهم السوريين النازحين ماينلامون اهلهم يموتون الموت لبشار واعوانه,False,NEG,msa
2605,اجتماع وزراء خارجيه روسيا تركيا ايرانالثلاثاء بدل الاسبوع,False,NEU,msa
2606, غوغل تتحدي ابل سامسونغ,False,NEU,msa
2607,ماذالوالمدارسمختلطهماعاد توصي النظافه,False,NEU,gulf
2608,خليكمتحضر معانحوالتحضر,False,POS,msa
2609,ساخبرك داءما الجميع يعني لي باستثناءك وانك انت الجميع عيناي وقلبي لايءمن بوجود سواك,False,POS,msa
2610,الحكومه تلتزم القانون للاسف حقيقه,False,NEG,msa
2611,معلومه با اسمش مشكل داشتيد مثلا اكه جاي داعش جبهه النصره باشه كه خيلي خوب عالي,False,NEG,levant
2612,بوابهالوفدمحامي احمدشفيق يوجد قضايا موكلي,False,NEU,msa
2613, تستهلك بطاريه كثير والا يورا لي,False,NEU,gulf
2614,مورينيو يحارب مدريد برشلونه صفقه جديدهالتفاصيل,False,NEU,msa
2615,نوال ازايطب احلفي برحمه الزغبي انك نوال,False,NEG,egypt
2616,موسكو اللقاء الثلاثي سوريا سيضم وزراء الدفاع اضافه وزراء خارجيه تركيا روسيا ايران لافروف شويغو ظريف جاويشاوغلو,False,NEU,msa
2617,ازمه اوبر كريم وساءقي سيارات الاجره بالاردن الحكومه تدخلت لصالح,False,NEU,msa
2618,اكييييييييد رامي عياااش❤❤❤,False,POS,msa
2619,مركزصديللاعلام تركيا الاف سياره سوريه مهدده بالحجز,False,NEU,msa
2620,ممكن مرسي مختفي الفتره دي عشان مش لاقي شاحن راخر اه يادوله العكاكين,True,NEG,egypt
2621,جبههشعبمصرجبههتحيامصريخرب بيتك يا قردواالناتو ضباط اتراك الناتوطلبوا اللجوءفي دول خدمتهم,True,NEG,egypt
2622,مصطلحات الشتم الليبيه تشبه مصطلح الارهاب معندهاش معاني تعريف محدد مجرد تسمعها تزبطها كلمه ماتنفعش,True,NEG,egypt
2623,العربيالجديد اوباما وميركل ينددان بالغارات الوحشيه حلب ندد الرءيس الاميركي باراك اوباما لندن,False,NEU,msa
2624,تعرف سعر اليوان توقيع اتفاقيه تبادل العملات الصين,False,NEU,msa
2625,النصب التذكاري الحقير يتم انشاءه ميدان رابعه سيكون شيء يتم اسقاطه اسقاط الانقلاب,True,NEG,msa
2626,الله حتي اليهود ثاروا التقتيل تمارسه روسيا بشار ايران المجوسيه العرب مبلطين التلفزات لمتاب,True,NEG,egypt
2627,شركالرافضهفيعاشورا فرق النور والظلام العباده والشرك اللهم نحمدك ونشكرك فطره الاسلام,False,NEG,msa
2628,امراض السياسه تءلم شخصيا,False,NEG,msa
2629,بيتلحمالاحتلال يطلق سراح الاسير عبد الهادي طقاطقه بلده بيتفجار امضي مده محكوميته البالغه ١٠ وشقيقه دعيس ٤ شهور,False,NEU,msa
2630,انا خريطه طريق وجدول زمني للانتقال الديمقراطي ونطمءن المواطنات والمواطنين مصر حكم مجلس عسكري يستمر نهايه,False,POS,msa
2631,حزن يبقي الفرحه دايمه الحكم حكم الله الدنيا ظروف,False,POS,msa
2632,جاءزه نوبل الكيمياء لرءيس الفريق البحثي لمدينه العلوم السعوديه,False,POS,msa
2633,القدر الولاد ماشين بمبدا غيرك والبنات بمبدا مفيش زيي انا البنات,True,NEG,msa
2634,تساءلات سوريه زمن الحرب اشتري دفترا وقلما لابني ام رغيف خبز,True,NEG,msa
2635,منو يعرف عايله محتاجه سوريا اليمن الوالد الله يعطيه العافيه تبرع بمبلغ بسيط ماله يقدر لوجه الله,False,NEU,egypt
2636,غوغل تتحدي ابل وامازون باجهزه جديده,False,NEU,msa
2637,عمركم سمعتم وعلي مر التاريخ بعاصفه تستمر اسموها عاصفهالحزم ولهم يفحطون اليمن يحققون نصر,True,NEG,egypt
2638,غوتشي تطلق مجموعتها الجديده الازياء الرجاليه الجديده,False,NEU,msa
2639,محمد الذهليثقافه تنفع القريه ورزانه يعني باختصار يحطونه واجهه القريه والله يشرف ماشاء الله قصور بعيالنا حزبالاعاده,False,POS,gulf
2640,احصاءيه استشهاد ﻃﻔﻼ ﺳﻮﺭﻳﺎ ﻋﻠﻰ ﺍﻷﻗﻞ ﺑﻄﺎﺋﺮﺍﺕ ﻭﺑﺮﺍﻣﻴﻞ ﻧﻈﺎﻡ ﺑﺸﺎﺭ ﺍﻷﺳﺪﺍﻟﻤﺘﻔﺠﺮﺓ واصابه طفلا ﺁﺧﺮﻳﻦ ﺑﺠﺮﺍﺡفي مدينه,False,NEG,msa
2641,المناظره الثانيه دونالدترامب هيلاريكلنتون التاريخالاحد اكتوبرالوقت الساعه بتوقيت واشنطن الاثنين,False,NEU,msa
2642,مشتاقلك بالحيل,False,POS,msa
2643,ناديننسيبنجيمما شفتها بس اكيد كالعاده القمر,False,POS,msa
2644,بوب ديلان يعتذر حفل نوبل ويصف فوزه بالوقوف سطح القمر,False,NEU,msa
2645,مره عرفت معرض الكتاب زحمه جهات المعرض كلها معرضالكويتالدوليللكتاب,False,NEU,msa
2646,لحام شيء ثواني وخطوتين مهرجانالقاهرهالسينمايي,False,NEU,egypt
2647,جستن بيييبر اهاااااااااا اوكي,False,NEU,msa
2648,راموس يضع شروط تعجيزيه تجديد عقده مدريد,False,NEU,msa
2649,الوداع ابتسامات مبلله بالدمع حينا وبالتذكار احيانا فيروز امسانتهينا,False,NEU,msa
2650,انت موافقتعرف حسابي غوغل بلاسو تقول تبلبل,False,POS,levant
2651,حاضر حنسكت مش حنقربله بنقد سخريه عشان الاغلبيهحاكون امعه امشي الرايجه حاضر,True,NEG,egypt
2652,جربنا الطرق السلميه وما نفع كثير هسا بنجرب الفكاهه كاسلوب حضاري سلمي مستعمل القدم,False,NEG,msa
2653,ارحني يا الله ثقل الايام وم اشعر,False,NEG,msa
2654,الدفع بمواطنين ملاحقه الصحفيين قضاءيا بتهمه اهانه الرءيس طريقه قديمه استعملها مبارك وانتهت سجن طره يتعظ الرءيس مرسي,False,NEG,egypt
2655,خصم لاوبر يعطيكم مشوار مجاني بقيمه ٣٠ يفوتكم ​كود خصم اوبر​✨​ اوبر,False,NEU,gulf
2656, شبګه اخبار الضاحيهالانفاق قاتله الجنود والمدرعات حلب جبههالنصره اشترت,False,NEU,msa
2657,تعيش يا سيسي,False,POS,egypt
2658,الانفاق معسكر اعداد وملابس وكتيب المشاركه العاب الفرانكفون وقبل ساعه السفر الغي طاهر ابو زيد,False,NEU,msa
2659,نجمتنا الذهبيه نوالالزغبي الاعلامي زكريافحام صاحب موقع خبرعاجل,False,POS,egypt
2660,ياتي وديون مصر تسجل رقما عالميا تصل دوله ولن ينفعنا مليارات الخليج الملوثه بدماء اولادنا,False,NEG,msa
2661,عامها ال٨١ السيده العظيمه الصوت الملاءكي روح الشعب خمر وياسمين ل«فيروز» قلبي سلام,False,POS,msa
2662,ويزيد وانتم ممنوعه ومحظوره ومطارده وارهابيه وصاحب القرار داءما طاغيه اذن انتم اهل الحق سلطان جاءر انصافالاخوان,True,NEG,msa
2663,فادي الاعور الرءيس ميشال عون وحده يعلن تحركاته,False,NEU,msa
2664,العالمالقصه هاري بوتر ب سنه بروفيسور معاه شنطه مخلوقات عجيبه طرد هوقوورتس وسافر لنيويورك وتبدا القصه,False,NEU,msa
2665,معقوله شما تشبهه هاري بوتر,True,NEG,gulf
2666,حلببستان القصر مركز بستان القصر الطبي,False,NEU,msa
2667,رمزترويجي اوبر ١٠٠ريال,False,NEU,msa
2668,البرادعي يستقوي بامريكا مرهاخري يرسل عصام العريان واشنطن شء مقرف,False,NEG,egypt
2669,والمواقع امازون جولي شيك شيءين اكسبريس حجوزات الفنادق بوكيق والطيران كلا الامراتي والقطري والكثير,False,NEU,msa
2670,تعرف تاريخ استخدام روسيا الصين لحق نقض الفيتوتقرير زاهر علياتحادالشبكاتالاسلاميه,False,NEU,msa
2671,وتتابع صحيفه النيويورك تايمزالتي خلقت كارثه انسانيه افقر بلدان العالم واثاره الارهاب والامر الرءيس اوباما لي,False,NEG,msa
2672,الشيخ حسان يءكد مرسي يمتلك شرعيه قرانيه وشرعيه نبويه متي التجاره بالدين بالمناسبه اين اموال التبرعات جمعها الشيخ حسان,True,NEG,msa
