token,frequency,token_preprocessed
بتدعم,6,بتدعم
استقبلت,8,استقبلت
وأستقبلت,2,وأستقبلت
للتدريبهم,2,للتدريبهم
ودخولهم,2,ودخولهم
للسوريا,2,للسوريا
مأجور,3,مأجور
رجب,25,رجب
الإشتياق,4,الإشتياق
عقارب,7,عقارب
تلدغك,4,تلدغك
تعيشها,9,تعيشها
تبكي,16,تبكي
الصباح,46,الصباح
وتضحك,5,وتضحك
المساء,13,المساء
الموضوعية,7,الموضوعية
تتبرأ,2,تتبرأ
الأبرياء,21,الأبرياء
البقرة,7,البقرة
وأجندة,3,وأجندة
الإلحادي,4,الإلحادي
المتصهين,7,المتصهين
شجرة,47,شجرة
جدورها,2,جدورها
شايلة,4,شايلة
هشيل,2,هشيل
هوصل,2,هوصل
دماغي,9,دماغي
التعبير,19,التعبير
تتضمن,3,تتضمن
الفتنة,38,الفتنة
كراهية,8,كراهية
تكرار,7,تكرار
الإعتداء,5,الإعتداء
العمال,22,العمال
تسقط,53,تسقط
تغيرت,18,تغيرت
الوجوه,6,الوجوه
كلوني,2,كلوني
صهر,6,صهر
كنة,4,كنة
النبطية,4,النبطية
الفوقا,2,الفوقا
احتفلت,6,احتفلت
بذكرى,23,بذكرى
أضفت,17,أضفت
بيلين,6,بيلين
الفلاح,8,الفلاح
ظلمته,2,ظلمته
واهملته,2,واهملته
لاصلاح,4,لاصلاح
زراعى,2,زراعى
مستقلة,9,مستقلة
للفلاحين,2,للفلاحين
قلبها,12,قلبها
الفلاحين,3,الفلاحين
السني,13,السني
لولي,12,لولي
الفقيه,15,الفقيه
اشرب,10,اشرب
ياقصير,2,ياقصير
وياللي,2,وياللي
خربتوها,2,خربتوها
ونهايتكم,2,ونهايتكم
اصلكم,2,اصلكم
مجرمين,9,مجرمين
واللي,87,واللي
عملنكم,2,عملنكم
وأعز,2,وأعز
المسلميناللهم,2,المسلميناللهم
فاجبر,2,فاجبر
كسرناوأنت,2,كسرناوأنت
فأعزنا,2,فأعزنا
بعزكوأنت,2,بعزكوأنت
المنتقم,4,المنتقم
فانتقم,6,فانتقم
عادانا,4,عادانا
تأجل,2,تأجل
وتيجي,2,وتيجي
بجميلة,2,بجميلة
وتعمل,9,وتعمل
قعر,10,قعر
وكبير,6,وكبير
العائلة,19,العائلة
هتقول,2,هتقول
صنعة,2,صنعة
للاعظمية,2,للاعظمية
تاك,4,تاك
الصاحبك,2,الصاحبك
ليسمح,2,ليسمح
بدخول,7,بدخول
ليعيش,5,ليعيش
ويتخذه,2,ويتخذه
أخا,2,أخا
القروش,4,القروش
المميزة,6,المميزة
عوالم,2,عوالم
متعة,12,متعة
تتلخص,3,تتلخص
تجميعها,2,تجميعها
طور,10,طور
الرالي,2,الرالي
يوسع,9,يوسع
مملكتك,2,مملكتك
وخياراتك,2,وخياراتك
ديموقراطية,5,ديموقراطية
القاطرة,2,القاطرة
كوابح,2,كوابح
وعي,24,وعي
نهضة,9,نهضة
آردا,4,آردا
توران,22,توران
بيعي,4,بيعي
فلكي,2,فلكي
إمبراطور,2,إمبراطور
يختبر,4,يختبر
موظفيه,4,موظفيه
لجس,2,لجس
مستواهم,3,مستواهم
النتيجة,40,النتيجة
إما,25,إما
احايل,2,احايل
الزغبى,7,الزغبى
ودونالد,6,ودونالد
ترمب,33,ترمب
يتهاوشون,8,يتهاوشون
اتذكر,14,اتذكر
فام,4,فام
the,80,the
campaign,4,campaign
وقرى,2,وقرى
المواطنين,35,المواطنين
بمحافظة,10,بمحافظة
للزواج,9,للزواج
جميلة,75,جميلة
هادئة,5,هادئة
حنونة,4,حنونة
سألو,2,سألو
ليدي,4,ليدي
قاقا,7,قاقا
ستتنتخب,2,ستتنتخب
العنصري,5,العنصري
يغرم,2,يغرم
مسجدا,4,مسجدا
200,27,200
لرفعه,4,لرفعه
المكبرات,2,المكبرات
اليسيانز,2,اليسيانز
نصوت,7,نصوت
لافضل,7,لافضل
البوم,17,البوم
سهرناياليل,2,سهرناياليل
وصوتو,2,وصوتو
خاطئة,3,خاطئة
كذبتم,4,كذبتم
يصدقكم,3,يصدقكم
ياخونه,4,ياخونه
عزيزي,39,عزيزي
عجز,22,عجز
الموازنه,3,الموازنه
الاسعار,33,الاسعار
الحيله,2,الحيله
تظاهرات,6,تظاهرات
ووقفات,2,ووقفات
احتجاجية,6,احتجاجية
الفيوم,10,الفيوم
نظم,11,نظم
الوقفات,2,الوقفات
هد,2,هد
دايرة,5,دايرة
بنلف,2,بنلف
اولتراس,2,اولتراس
فاخترعت,2,فاخترعت
مذبخة,2,مذبخة
فالناس,2,فالناس
فالجمهور,2,فالجمهور
يتمنع,2,يتمنع
الماتشات,9,الماتشات
إلهام,9,إلهام
تتعرض,13,تتعرض
لموقف,2,لموقف
محرج,10,محرج
أدين,10,أدين
أشكاله,7,أشكاله
وصوره,7,وصوره
إنسان,28,إنسان
عقيدته,2,عقيدته
انتماؤه,2,انتماؤه
وسلميتنا,2,وسلميتنا
السبيل,12,السبيل
فرنساوخذلان,2,فرنساوخذلان
جبة,2,جبة
بالانتخاباتأتذكرون,2,بالانتخاباتأتذكرون
ثلجية,6,ثلجية
ساخرا,10,ساخرا
دبلوماسية,15,دبلوماسية
اوعى,15,اوعى
طوابير,4,طوابير
اخونه,2,اخونه
المقابر,4,المقابر
زرع,15,زرع
عائله,4,عائله
أكلات,2,أكلات
يفوق,15,يفوق
بعضها,17,بعضها
الذهب,19,الذهب
اللحوم,2,اللحوم
المشروبات,6,المشروبات
جسم,6,جسم
تقدرين,2,تقدرين
ايفووووووووون,2,ايفووووووووون
نفسسسسسسسي,4,نفسسسسسسسي
بالايفوووووووون,2,بالايفوووووووون
اللله,4,اللله
يسعددددك,2,يسعددددك
للميديا,2,للميديا
بشتى,3,بشتى
انواعهامن,2,انواعهامن
واخبار,3,واخبار
وكتبلتوضح,2,وكتبلتوضح
المشوهة,4,المشوهة
منظمه,2,منظمه
تشكلت,3,تشكلت
يؤديه,3,يؤديه
المساعي,2,المساعي
تركي,59,تركي
تمثله,3,تمثله
لإفريقيا,2,لإفريقيا
وندعم,3,وندعم
خارطة,18,خارطة
بالمسلسل,2,بالمسلسل
عليهما,4,عليهما
لافرق,5,لافرق
تابعو,5,تابعو
الاعلامية,7,الاعلامية
داليا,6,داليا
ايمن,16,ايمن
ستتأثر,2,ستتأثر
ساسة,9,ساسة
شرعا,5,شرعا
وخيانة,13,وخيانة
ستحل,5,ستحل
الملكة,7,الملكة
ضيفة,12,ضيفة
وحتكون,2,وحتكون
فله,7,فله
وشمعه,2,وشمعه
ومنوره,2,ومنوره
لفلم,4,لفلم
فانتاستيك,4,فانتاستيك
بيتس,4,بيتس
تو,18,تو
فايند,4,فايند
ذيم,4,ذيم
قيل,19,قيل
اخخخيرا,4,اخخخيرا
ضن,4,ضن
اليمنين,6,اليمنين
الشرفا,4,الشرفا
وتكذب,5,وتكذب
ثقافة,32,ثقافة
اعتياد,4,اعتياد
للقبح,2,للقبح
للقذارة,2,للقذارة
آردوغان,2,آردوغان
قدر,26,قدر
نهضته,2,نهضته
بالنظافة,2,بالنظافة
شيراك,2,شيراك
عمدة,4,عمدة
تطهير,17,تطهير
وفورا,5,وفورا
اخذها,7,اخذها
ارتباطي,2,ارتباطي
بنجوى,2,بنجوى
اشاعة,3,اشاعة
حارتي,2,حارتي
خطوبتهما,4,خطوبتهما
متحدث,19,متحدث
التطبيع,28,التطبيع
والاستقرار,12,والاستقرار
الإقليمي,12,الإقليمي
Bonjour,2,Bonjour
وبخصوص,4,وبخصوص
الملابس,3,الملابس
والشوز,2,والشوز
والتنورة,2,والتنورة
بالحلقة,3,بالحلقة
nadinenassibnjeim,16,nadinenassibnjeim
اعلنوا,5,اعلنوا
لقوا,5,لقوا
اثار,13,اثار
مواد,16,مواد
متفجرة,4,متفجرة
وقعت,28,وقعت
شهور,49,شهور
يكفينا,10,يكفينا
فخرا,11,فخرا
هالجمهورية,2,هالجمهورية
اجا,4,اجا
عالرئاسة,2,عالرئاسة
انفولو,5,انفولو
نصير,6,نصير
ايوه,9,ايوه
أعتقد,38,أعتقد
بينغ,2,بينغ
يطقطق,6,يطقطق
برع,5,برع
انقذوا,10,انقذوا
اقاله,12,اقاله
كذلك,42,كذلك
يفضل,19,يفضل
التأكسي,2,التأكسي
كريمبالرغم,2,كريمبالرغم
لمعلومات,4,لمعلومات
وحتى,29,وحتى
بأزياء,2,بأزياء
أجواء,11,أجواء
RoyalFamily,2,RoyalFamily
البائع,4,البائع
وحاطين,5,وحاطين
وزن,5,وزن
الشحنة,2,الشحنة
وتشحن,2,وتشحن
غالي,31,غالي
600,2,600
يتبع,42,يتبع
الاماراتميسي,4,الاماراتميسي
يتابع,23,يتابع
والعشير,2,والعشير
سيشهد,10,سيشهد
انون,4,انون
مانيكان,4,مانيكان
تشالنج,4,تشالنج
Anoon,2,Anoon
شهادات,10,شهادات
للتوظيف,2,للتوظيف
لدخول,7,لدخول
الأسلام,16,الأسلام
إستمتعنا,2,إستمتعنا
وأسعدتينا,2,وأسعدتينا
كالعادهوأبدا,2,كالعادهوأبدا
بنكتفي,2,بنكتفي
أكتر,38,أكتر
ودائما,3,ودائما
بنتعلم,2,بنتعلم
Love,2,Love
You,6,You
NNN,2,NNN
مقاتلى,2,مقاتلى
وتخليهم,3,وتخليهم
بشرق,2,بشرق
المصابين,5,المصابين
كاسيميرو,13,كاسيميرو
مودريتش,24,مودريتش
خيميس,1,خيميس
كوينتراو,2,كوينتراو
المتابع,6,المتابع
لإ,2,لإ
قطب,17,قطب
مغادرة,21,مغادرة
عبفتاح,5,عبفتاح
أوميجا,2,أوميجا
العالمى,12,العالمى
السويد,486,السويد
أبريل,10,أبريل
Fairuz,2,Fairuz
Songs,2,Songs
From,2,From
بسكوت,14,بسكوت
سايب,5,سايب
صاحبك,3,صاحبك
يهزر,2,يهزر
يشتمك,2,يشتمك
بامك,2,بامك
معلش,17,معلش
اصلها,4,اصلها
نفسها,96,نفسها
سيكو,4,سيكو
جوبيانج,2,جوبيانج
أخطر,27,أخطر
بصورة,38,بصورة
اقول,75,اقول
يلبس,7,يلبس
شورت,3,شورت
وتمشي,3,وتمشي
الامور,25,الامور
يعارض,5,يعارض
أقوال,4,أقوال
متضمن,2,متضمن
سياسته,8,سياسته
إدارتي,2,إدارتي
الربيع,3167,الربيع
آلايآم,2,آلايآم
بتجري,4,بتجري
آنا,2,آنا
مستنية,4,مستنية
منافقا,4,منافقا
تخطى,9,تخطى
ضريح,16,ضريح
تشي,5,تشي
غيفارا,8,غيفارا
خمس,30,خمس
الشارقة,16,الشارقة
168,2,168
اطلاق,15,اطلاق
النسخة,30,النسخة
رن,8,رن
وتتوالى,2,وتتوالى
الإبداعات,2,الإبداعات
سمير,22,سمير
للبنان,13,للبنان
والعرص,3,والعرص
صغير,41,صغير
بكندا,3,بكندا
مايعرف,11,مايعرف
ومنافسها,4,ومنافسها
عصرا,11,عصرا
بتو,4,بتو
المرتكب,4,المرتكب
يسمونها,9,يسمونها
يتحدثون,13,يتحدثون
والبوذي,4,والبوذي
والملحد,4,والملحد
ملوك,20,ملوك
الاناقه,4,الاناقه
والفخامة,4,والفخامة
طبعاا,4,طبعاا
قميص,12,قميص
لابس,26,لابس
تاي,9,تاي
وأدري,2,وأدري
دموع,14,دموع
العين,41,العين
خذلان,10,خذلان
وملح,2,وملح
أقولك,3,أقولك
بعدل,4,بعدل
تحصله,2,تحصله
مسئول,16,مسئول
مصريينبلوك,2,مصريينبلوك
وريبورت,2,وريبورت
سبام,5,سبام
طعمة,3,طعمة
بتزين,2,بتزين
سفرة,2,سفرة
tequenos,2,tequenos
tasty,2,tasty
cheese,3,cheese
sheeserolls,2,sheeserolls
اكتشف,8,اكتشف
تعرفها,12,تعرفها
تحمس,2,تحمس
تاخذ,9,تاخذ
وضعية,4,وضعية
بيهزق,2,بيهزق
بلاميطي,2,بلاميطي
ياسين,15,ياسين
عندها,44,عندها
ضل,10,ضل
فلسطينليسو,2,فلسطينليسو
وحد,3,وحد
والعن,3,والعن
سيعاملون,4,سيعاملون
كإرهابيين,6,كإرهابيين
ستدعم,2,ستدعم
سيشنها,2,سيشنها
رامبير,2,رامبير
تنكرية,2,تنكرية
للمتوكل,2,للمتوكل
طه,9,طه
الاخباري,57,الاخباري
kronfol,2,kronfol
ilovekronfol,2,ilovekronfol
لخفض,4,لخفض
الوقود,9,الوقود
تأخر,5,تأخر
السعوديةرابط,2,السعوديةرابط
X4WBhE4g,2,X4WBhE4g
تستضيف,20,تستضيف
للزلاجات,2,للزلاجات
سنظل,5,سنظل
وطننا,20,وطننا
أشكركم,2,أشكركم
وقتكم,4,وقتكم
الثمين,4,الثمين
والساعة,2,والساعة
تكفي,24,تكفي
الإخبارية,27,الإخبارية
ومأساتهابقلم,2,ومأساتهابقلم
البني,5,البني
151,2,151
37,24,37
إشبيلية,3,إشبيلية
فياريال,3,فياريال
26,25,26
سويداد,2,سويداد
تختتم,8,تختتم
نزولها,2,نزولها
الميداني,2,الميداني
الضالع,3,الضالع
لليمن,61,لليمن
استخراج,5,استخراج
تاشيرة,2,تاشيرة
شنغن,2,شنغن
اسرع,25,اسرع
وباقل,2,وباقل
الاوراق,5,الاوراق
المطلوبة,2,المطلوبة
لاستخراج,4,لاستخراج
التاشيرة,2,التاشيرة
سياحة,9,سياحة
ضباط,33,ضباط
الرافضي,5,الرافضي
يقدمون,3,يقدمون
نساءسوريا,2,نساءسوريا
للضباط,2,للضباط
الدياثه,3,الدياثه
اسمعوا,9,اسمعوا
جيبلو,2,جيبلو
قمعى,2,قمعى
اروح,18,اروح
صف,14,صف
160,2,160
مليشيا,13,مليشيا
ارجاء,2,ارجاء
اؤيدها,2,اؤيدها
وابررلها,2,وابررلها
وممكن,14,وممكن
انضم,9,انضم
المتشدقين,5,المتشدقين
بجرافات,2,بجرافات
ترسلهم,2,ترسلهم
مصراتة,9,مصراتة
لثوار,2,لثوار
يعزز,7,يعزز
بجرفات,2,بجرفات
للموت,5,للموت
تترجل,2,تترجل
التويتر,10,التويتر
ادهب,2,ادهب
لتنصر,2,لتنصر
لتفرح,2,لتفرح
يادلخ,2,يادلخ
بيلعب,33,بيلعب
بروسيا,36,بروسيا
تقابلت,2,تقابلت
ياحمار,9,ياحمار
ويستبروك,2,ويستبروك
سنتر,16,سنتر
بدال,7,بدال
ادمز,4,ادمز
دفاعيا,2,دفاعيا
بالسله,2,بالسله
موسم,23,موسم
عزام,16,عزام
أهمية,19,أهمية
المصالحة,28,المصالحة
الفلسطينية,68,الفلسطينية
2525,2,2525
بتكلم,17,بتكلم
متعلم,5,متعلم
أمانة,12,أمانة
أحترمكم,2,أحترمكم
أندي,4,أندي
موراي,6,موراي
يحصد,3,يحصد
يتغزلون,4,يتغزلون
بومه,4,بومه
توصلين,4,توصلين
شمروخ,3,شمروخ
الايد,3,الايد
يغنى,5,يغنى
والنار,10,والنار
تلومنى,2,تلومنى
عالبال,2,عالبال
وتعيش,6,وتعيش
الاولتراس,2,الاولتراس
بتحارب,4,بتحارب
مر,66,مر
جات,11,جات
التعب,8,التعب
السعادة,24,السعادة
بعشها,3,بعشها
ضح,2,ضح
تك,7,تك
عقلك,10,عقلك
جنونك,3,جنونك
شير,5,شير
سنعمل,2,سنعمل
لتطوير,12,لتطوير
الجلاءرغم,2,الجلاءرغم
سيحدث,7,سيحدث
صمام,5,صمام
آمان,2,آمان
طال,28,طال
النضال,9,النضال
بسواعد,6,بسواعد
شجعان,3,شجعان
نيرة,2,نيرة
يعطي,15,يعطي
الضوء,26,الضوء
لامتلاك,2,لامتلاك
منظومة,13,منظومة
اللحية,3,اللحية
خذ,15,خذ
جوالي,12,جوالي
تقييمك,5,تقييمك
لأداء,9,لأداء
كلينتونvsترامب,6,كلينتونvsترامب
قولة,6,قولة
صواتن,2,صواتن
وجوهن,2,وجوهن
بيني,14,بيني
وبينن,2,وبينن
بيوجعني,2,بيوجعني
هالمنظر,2,هالمنظر
حىتى,2,حىتى
عالتلفزيون,2,عالتلفزيون
بحس,7,بحس
بالغربة,4,بالغربة
عائدات,2,عائدات
مليوني,4,مليوني
All,6,All
Techno,2,Techno
news,23,news
حرقة,4,حرقة
بالقلب,3,بالقلب
صوتك,29,صوتك
اعلى,17,اعلى
ابواق,6,ابواق
الخونة,59,الخونة
القتلة,15,القتلة
ينتصر,14,ينتصر
عالظلمة,2,عالظلمة
زعلانيين,3,زعلانيين
تبونهم,2,تبونهم
ويأيدونه,2,ويأيدونه
منطق,18,منطق
الاع,2,الاع
فكرتي,4,فكرتي
دخلوا,9,دخلوا
تطبيع,5,تطبيع
نجهلهاالتطبيع,2,نجهلهاالتطبيع
عزلتها,3,عزلتها
mbc,8,mbc
تدافع,17,تدافع
وازدحام,2,وازدحام
العزيزالصور,2,العزيزالصور
والتفاصيل,8,والتفاصيل
الجوائز,12,الجوائز
موسما,4,موسما
جمهوري,13,جمهوري
بتعيين,5,بتعيين
تعبيرية,2,تعبيرية
مقصور,2,مقصور
الترشح,20,الترشح
خمسة,37,خمسة
أفراد,17,أفراد
لنقاطع,2,لنقاطع
خداع,6,خداع
زف,2,زف
عريسا,4,عريسا
رأسه,4,رأسه
حادة,7,حادة
وباريس,2,وباريس
استغفر,13,استغفر
المعيدين,2,المعيدين
يعملوا,22,يعملوا
دكاترة,8,دكاترة
وبيشتغلوا,2,وبيشتغلوا
مزاجهم,3,مزاجهم
تطبيقية,2,تطبيقية
الشائعات,7,الشائعات
ويحضر,2,ويحضر
تعتبر,17,تعتبر
الطوب,2,الطوب
الأحمر,32,الأحمر
الستة,3,الستة
حازت,2,حازت
ابويا,6,ابويا
الهاند,2,الهاند
فري,6,فري
وخباه,2,وخباه
مسمعش,4,مسمعش
ميعرفش,5,ميعرفش
للراديو,2,للراديو
بلاى,2,بلاى
الصبيحي,2,الصبيحي
مشروطا,2,مشروطا
للحوثيين,21,للحوثيين
لترشيحه,2,لترشيحه
توافقيا,2,توافقيا
BBC,80,BBC
أتوا,3,أتوا
متحمسة,2,متحمسة
لحتى,7,لحتى
احضر,5,احضر
المقابلة,5,المقابلة
elissa,8,elissa
صفيح,5,صفيح
ساخن,5,ساخن
فاسم,2,فاسم
قلك,8,قلك
اللهمصدقين,2,اللهمصدقين
المقصودين,2,المقصودين
القرانولبنانحزب,2,القرانولبنانحزب
الغالبونوهابية,2,الغالبونوهابية
أسهم,9,أسهم
تنخفض,4,تنخفض
ديزني,6,ديزني
شرائه,4,شرائه
يحضرا,4,يحضرا
حانت,3,حانت
الاعتماد,4,الاعتماد
النفس,42,النفس
بد,25,بد
نقف,15,نقف
وقفة,29,وقفة
داعميه,2,داعميه
يبارك,22,يبارك
فيكي,16,فيكي
هند,12,هند
أمسية,13,أمسية
صانع,18,صانع
البهجة,6,البهجة
CBC,2,CBC
CIFF,2,CIFF
للبث,8,للبث
فشخين,2,فشخين
وانه,23,وانه
هداف,180,هداف
برصيد,29,برصيد
ضربات,15,ضربات
عملها,23,عملها
الصليبيةمايحدث,2,الصليبيةمايحدث
وتدمير,12,وتدمير
بمباركة,4,بمباركة
بطريرك,5,بطريرك
قبيل,23,قبيل
سونة,2,سونة
يحضن,3,يحضن
يضركبالعكسالكذب,2,يضركبالعكسالكذب
تكرر,16,تكرر
بكثافة,5,بكثافة
سيؤدى,3,سيؤدى
تشويش,6,تشويش
أذهان,3,أذهان
هاتريك,16,هاتريك
مرمى,47,مرمى
أشوفك,4,أشوفك
خيرصباح,2,خيرصباح
المختلط,2,المختلط
البرلماني,2,البرلماني
الانسب,2,الانسب
تتوزع,2,تتوزع
روبيرت,8,روبيرت
ويصفه,5,ويصفه
والخنزير,4,والخنزير
ويدعو,4,ويدعو
ضده,39,ضده
صياغة,2,صياغة
المشاعر,16,المشاعر
غطيت,2,غطيت
كونان,2,كونان
واحلم,2,واحلم
سينشي,2,سينشي
ونتزوج,2,ونتزوج
والعسكر,9,والعسكر
سيطر,7,سيطر
اتجبر,2,اتجبر
للشر,4,للشر
حضر,16,حضر
الفراخ,3,الفراخ
وع,12,وع
الحريم,5,الحريم
يتشطر,4,يتشطر
كاذبون,11,كاذبون
شهرا,5,شهرا
73,17,73
دولارفي,2,دولارفي
اقتباس,12,اقتباس
نظرات,2,نظرات
القيادةللدكتور,2,القيادةللدكتور
بدر,21,بدر
الزيد,3,الزيد
الطريجي,2,الطريجي
تجدونه,6,تجدونه
مدارك,12,مدارك
سلاماعلى,2,سلاماعلى
الانتصارالعربى,2,الانتصارالعربى
وتحية,8,وتحية
قواتنا,5,قواتنا
بمصر,45,بمصر
الهزيمة,10,الهزيمة
ينصركم,7,ينصركم
للحادث,2,للحادث
ميدل,7,ميدل
ايست,2,ايست
تستقطبان,2,تستقطبان
الغاضبة,6,الغاضبة
الأكراد,3,الأكراد
المتحدثون,2,المتحدثون
شرع,20,شرع
العيب,17,العيب
الذات,22,الذات
لتحتل,2,لتحتل
مولانا,8,مولانا
التيس,2,التيس
مرشحة,10,مرشحة
البارحة,8,البارحة
والآتي,4,والآتي
نفتخر,17,نفتخر
بيك,30,بيك
ياااا,3,ياااا
رئيسنا,12,رئيسنا
فكرك,5,فكرك
هوايا,2,هوايا
ياللي,3,ياللي
ناوي,17,ناوي
تدوبني,2,تدوبني
دينا,13,دينا
الوديدي,8,الوديدي
توصيل,28,توصيل
مشاوير,15,مشاوير
طلبات,19,طلبات
اغراض,3,اغراض
0569339790,2,0569339790
مشواري,2,مشواري
الإصلاحيون,2,الإصلاحيون
والمحافظون,4,والمحافظون
يتعايرون,2,يتعايرون
غرين,4,غرين
كارد,11,كارد
تعحبني,2,تعحبني
انيقه,2,انيقه
وجميله,3,وجميله
واغانيها,4,واغانيها
طفى,3,طفى
بريقها,2,بريقها
خساره,13,خساره
زوجة,23,زوجة
بلمختار,6,بلمختار
القيادي,11,القيادي
بتنظيم,12,بتنظيم
الجبل,8,الجبل
وتحرر,4,وتحرر
الحميرة,2,الحميرة
هنرسم,2,هنرسم
سيسيايهلسه,2,سيسيايهلسه
هتبيع,2,هتبيع
تانيطيب,2,تانيطيب
نرسمها,2,نرسمها
الاكازيون,2,الاكازيون
يخلص,20,يخلص
نصيحتين,2,نصيحتين
التغريدتين,2,التغريدتين
التاليتين,2,التاليتين
التفكير,25,التفكير
فيهما,6,فيهما
بتمعن,2,بتمعن
غيابي,2,غيابي
عنكم,30,عنكم
أنغماسنا,2,أنغماسنا
أقليمي,2,أقليمي
مفترق,9,مفترق
أوقف,2,أوقف
رقعتها,2,رقعتها
ستتسع,2,ستتسع
ستيفن,2,ستيفن
سيش,2,سيش
باللغة,12,باللغة
حواليك,4,حواليك
بتحب,19,بتحب
وماله,2,وماله
ماهواش,2,ماهواش
رزق,24,رزق
عيالها,6,عيالها
مستقبلها,3,مستقبلها
حست,2,حست
فاشل,42,فاشل
يحل,14,يحل
هتقلب,2,هتقلب
استاذنا,4,استاذنا
واقفين,12,واقفين
نتفرج,8,نتفرج
المرضى,7,المرضى
تتاجر,3,تتاجر
عملاتها,2,عملاتها
للتجارة,3,للتجارة
الدولار,30,الدولار
اليورو,17,اليورو
الاحتكاك,2,الاحتكاك
الخشن,2,الخشن
غيرى,5,غيرى
النسخه,8,النسخه
وخليها,6,وخليها
الرهن,5,الرهن
الفقه,3,الفقه
الإسلاميرسالة,2,الإسلاميرسالة
دكتوراهد,2,دكتوراهد
الدعيلج,2,الدعيلج
دينار,20,دينار
موندو,2,موندو
ديبورتيفو,8,ديبورتيفو
رغبة,18,رغبة
ضم,21,ضم
مدافع,20,مدافع
أندرياس,2,أندرياس
كريستنسن,2,كريستنسن
المعار,8,المعار
شعبة,5,شعبة
المستوردين,2,المستوردين
اقتصادية,14,اقتصادية
صفعة,5,صفعة
لناشطة,2,لناشطة
وجوهنا,2,وجوهنا
وتحكم,4,وتحكم
لتفكيك,10,لتفكيك
حلبهذا,2,حلبهذا
ستصبح,7,ستصبح
طاهرة,8,طاهرة
مطهرة,2,مطهرة
المجرممرحبا,2,المجرممرحبا
حلبBienvenue,2,حلبBienvenue
الأسواق,7,الأسواق
حافظوا,6,حافظوا
أرضا,4,أرضا
وشعبا,7,وشعبا
إرم,7,إرم
حاسم,15,حاسم
أراد,33,أراد
فسوف,3,فسوف
يعلمون,16,يعلمون
قرائته,2,قرائته
لتحيته,2,لتحيته
وسيعلمون,2,وسيعلمون
بأنه,47,بأنه
بالسجن,23,بالسجن
بريطاني,5,بريطاني
يتوفر,11,يتوفر
للكاتبة,2,للكاتبة
البلوشي,17,البلوشي
اجى,4,اجى
غطى,2,غطى
التهجير,4,التهجير
الابتذال,2,الابتذال
الشوال,2,الشوال
شبرا,19,شبرا
افريقيا,310,افريقيا
كوكب,18,كوكب
مجرة,2,مجرة
التبانة,2,التبانة
إياك,5,إياك
نعبد,3,نعبد
وإياك,3,وإياك
نستعين,3,نستعين
تنهض,5,تنهض
بالكلام,6,بالكلام
والظواهر,2,والظواهر
الصوتية,8,الصوتية
فارقا,3,فارقا
الجموع,4,الجموع
آفات,3,آفات
فالكثير,2,فالكثير
يعبرون,2,يعبرون
مواقفهم,7,مواقفهم
جلساتهم,3,جلساتهم
ومكالمات,2,ومكالمات
الهاتف,11,الهاتف
ينافقون,2,ينافقون
العلن,8,العلن
شعبيتهم,2,شعبيتهم
صرخات,3,صرخات
ألم,36,ألم
ودم,2,ودم
Aleppo,8,Aleppo
PutinAssadCrimes,2,PutinAssadCrimes
ObamaComplicity,2,ObamaComplicity
للمداخلة,2,للمداخلة
الناقد,3,الناقد
السينيمائى,4,السينيمائى
العقاد,6,العقاد
المفتن,2,المفتن
الحسون,2,الحسون
يستلم,6,يستلم
درع,17,درع
العباس,2,العباس
أوس,2,أوس
الخفاجي,3,الخفاجي
مختزلا,2,مختزلا
مايحدث,23,مايحدث
بقوله,11,بقوله
عتبة,2,عتبة
آك,2,آك
للعنف,2,للعنف
المتورطين,6,المتورطين
القصيدة,2,القصيدة
خذيهاأو,2,خذيهاأو
خذينيودعي,2,خذينيودعي
الورقة,8,الورقة
يعرضون,3,يعرضون
المبالغ,3,المبالغ
فيصل,47,فيصل
الغامدي,5,الغامدي
لإغراءه,2,لإغراءه
ببيع,4,ببيع
يدركوا,6,يدركوا
ابناء,39,ابناء
مساندة,7,مساندة
ميدو,39,ميدو
ودعمه,5,ودعمه
اشياء,16,اشياء
النادى,18,النادى
موجوده,7,موجوده
بيتشتم,4,بيتشتم
بامه,3,بامه
ابليكيشنز,4,ابليكيشنز
للفيس,4,للفيس
وتويتر,8,وتويتر
والماسنجر,4,والماسنجر
والحاجات,5,والحاجات
شابوه,12,شابوه
موبايل,9,موبايل
موجات,8,موجات
خطرة,4,خطرة
ومتعددة,2,ومتعددة
إنشغالنا,2,إنشغالنا
بحربنا,2,بحربنا
وحربنا,2,وحربنا
فلنكن,2,فلنكن
موحدة,8,موحدة
ضدها,17,ضدها
مستخبية,4,مستخبية
الفن,44,الفن
والمشاهير,2,والمشاهير
يخلهوللللللك,2,يخلهوللللللك
بدك,15,بدك
لطفلها,8,لطفلها
mtvlebanonstars,6,mtvlebanonstars
مخطوطة,2,مخطوطة
لشهداء,7,لشهداء
سالت,9,سالت
دماؤهم,2,دماؤهم
لتروي,2,لتروي
جنائزي,4,جنائزي
وسيم,8,وسيم
k3ptpAD1gQ,2,k3ptpAD1gQ
جريدتكhtt,2,جريدتكhtt
نزع,9,نزع
ملكم,2,ملكم
لغدركم,2,لغدركم
أذهب,3,أذهب
حكمكم,2,حكمكم
إخلاصكم,2,إخلاصكم
إستبدلكم,2,إستبدلكم
لأنكم,6,لأنكم
خنتم,4,خنتم
ووليتم,2,ووليتم
اعترضت,6,اعترضت
وحركت,2,وحركت
للاتصال,2,للاتصال
وتم,50,وتم
