emoticon,english_translation,arabic_translation
🎪,circus_tent,خيمة السيرك
🏙,cityscape,سيتي سكيب
🌆,cityscape_at_dusk,سيتي سكيب عند الغسق
🗜,clamp,المشبك
🎬,clapper_board,كلابر المجلس
👏,clapping_hands,التصفيق
👏 🏿,clapping_hands_dark_skin_tone,التصفيق اليدين بلون البشرة الداكنة
👏 🏻,clapping_hands_light_skin_tone,التصفيق اليدين بلون البشرة الفاتح
👏 🏾,clapping_hands_medium-dark_skin_tone,التصفيق باليدين بلون بشرة متوسط ​​الغامق
👏 🏼,clapping_hands_medium-light_skin_tone,التصفيق باليدين بلون بشرة متوسط ​​فاتح
👏 🏽,clapping_hands_medium_skin_tone,التصفيق اليدين بشرة متوسطة
🏛,classical_building,مبنى كلاسيكي
🍻,clinking_beer_mugs,قشزعة أكواب البيرة
🥂,clinking_glasses,نظارات الخشخشة
📋,clipboard,الحافظة
🔃,clockwise_vertical_arrows,الأسهم العمودية في اتجاه عقارب الساعة
📕,closed_book,كتاب مغلق
📪,closed_mailbox_with_lowered_flag,صندوق بريد مغلق بعلم منخفض
📫,closed_mailbox_with_raised_flag,صندوق بريد مغلق بعلم مرفوع
🌂,closed_umbrella,مظلة مغلقة
☁,cloud,غيم
🌩,cloud_with_lightning,سحابة مع البرق
⛈,cloud_with_lightning_and_rain,سحابة مع البرق والمطر
🌧,cloud_with_rain,سحابة مع المطر
🌨,cloud_with_snow,سحابة مع ثلج
🤡,clown_face,وجه مهرج
♣,club_suit,بدلة النادي
👝,clutch_bag,حقيبة مخلب
🍸,cocktail_glass,كأس كوكتيل
⚰,coffin,نعش
💥,collision,تصادم
☄,comet,المذنب
💽,computer_disk,قرص الكمبيوتر
🖱,computer_mouse,فأرة الحاسوب
🎊,confetti_ball,كرة النثار
😖,confounded_face,وجه مرتبك
😕,confused_face,وجه مرتبك
🚧,construction,اعمال بناء
👷,construction_worker,عامل بناء
👷 🏿,construction_worker_dark_skin_tone,عامل بناء لون البشرة الداكنة
👷 🏻,construction_worker_light_skin_tone,عامل بناء لون البشرة الفاتح
👷 🏾,construction_worker_medium-dark_skin_tone,عامل بناء متوسط ​​لون البشرة غامق
👷 🏼,construction_worker_medium-light_skin_tone,عامل بناء متوسط ​​لون البشرة فاتح
👷 🏽,construction_worker_medium_skin_tone,عامل بناء متوسط ​​لون البشرة
🎛,control_knobs,مقابض التحكم
🏪,convenience_store,محل بقالة
🍚,cooked_rice,ارز مطبوخ
🍪,cookie,بسكويت
🍳,cooking,طبخ
©,copyright,حقوق النشر
🛋,couch_and_lamp,أريكة ومصباح
💑,couple_with_heart,الزوجان مع القلب
👨 ‍ ❤ ️ ‍ 👨,couple_with_heart_man_man,زوجان مع قلب الرجل
👩 ‍ ❤ ️ ‍ 👨,couple_with_heart_woman_man,زوجان مع قلب امرأة الرجل
👩 ‍ ❤ ️ ‍ 👩,couple_with_heart_woman_woman,زوجان مع قلب امرأة امرأة
🐄,cow,بقرة
🐮,cow_face,وجه بقرة
🤠,cowboy_hat_face,وجه قبعة رعاة البقر
🦀,crab,سلطعون
🖍,crayon,قلم تلوين
💳,credit_card,بطاقة ائتمان
🌙,crescent_moon,الهلال
🏏,cricket,كريكيت
🐊,crocodile,تمساح
🥐,croissant,كرواسون
❌,cross_mark,علامة تقاطع
❎,cross_mark_button,زر علامة الصليب
🤞,crossed_fingers,تمنيت
🤞 🏿,crossed_fingers_dark_skin_tone,عبرت أصابع لون البشرة الداكنة
🤞 🏻,crossed_fingers_light_skin_tone,عبرت أصابع لون البشرة الفاتح
🤞 🏾,crossed_fingers_medium-dark_skin_tone,الأصابع المتقاطعة لون بشرة متوسط ​​الغامق
🤞 🏼,crossed_fingers_medium-light_skin_tone,أصابع متقاطعة لون بشرة متوسط ​​إلى فاتح
🤞 🏽,crossed_fingers_medium_skin_tone,عبرت الأصابع لون بشرة متوسط
🎌,crossed_flags,عبر الأعلام
⚔,crossed_swords,عبر السيوف
👑,crown,تاج
😿,crying_cat_face,وجه قط يبكي
😢,crying_face,وجه يبكي
🔮,crystal_ball,كره كريستال
🥒,cucumber,خيار
➰,curly_loop,حلقة مجعد
💱,currency_exchange,تحويل العملات
🍛,curry_rice,أرز بالكاري
🍮,custard,كاسترد
🛃,customs,الجمارك
🌀,cyclone,إعصار
🗡,dagger,خنجر
🍡,dango,دانغو
🏿,dark_skin_tone,لون البشرة الداكن
💨,dashing_away,محطما بعيدا
🌳,deciduous_tree,شجرة متهاوية
🦌,deer,الغزال
🚚,delivery_truck,شاحنة توصيل
🏬,department_store,قسم التخزين
🏚,derelict_house,منزل مهجور
🏜,desert,صحراء
🏝,desert_island,جزيرة الصحراء
🖥,desktop_computer,كمبيوتر سطح المكتب
🕵,detective,المحقق
🕵 🏿,detective_dark_skin_tone,المباحث لهجة البشرة الداكنة
🕵 🏻,detective_light_skin_tone,لون البشرة الفاتح المباحث
🕵 🏾,detective_medium-dark_skin_tone,لون البشرة المباحث متوسط ​​الغامق
🕵 🏼,detective_medium-light_skin_tone,لون البشرة المباحث متوسط ​​الضوء
🕵 🏽,detective_medium_skin_tone,المباحث لون البشرة المتوسط
♦,diamond_suit,بدلة الماس
💠,diamond_with_a_dot,الماس مع نقطة
🔅,dim_button,زر خافت
🎯,direct_hit,ضربة مباشرة
😥,disappointed_but_relieved_face,وجه محبط لكنه مرتاح
😞,disappointed_face,وجه محبط
💫,dizzy,بالدوار
😵,dizzy_face,وجه مصاب بدوار
🐕,dog,الكلب
🐶,dog_face,وجه الكلب
💵,dollar_banknote,الأوراق النقدية بالدولار
🐬,dolphin,دولفين
🚪,door,باب
🔯,dotted_six-pointed_star,نجمة سداسية منقط
➿,double_curly_loop,حلقة مزدوجة مجعد
‼,double_exclamation_mark,علامة تعجب مزدوجة
🍩,doughnut,الدونات
🕊,dove,حمامة
↙,down-left_arrow,سهم لأسفل اليسار
↘,down-right_arrow,سهم لأسفل لليمين
⬇,down_arrow,السهم لأسفل
🔽,down_button,زر لأسفل
🐉,dragon,تنين
🐲,dragon_face,وجه التنين
👗,dress,فستان
🤤,drooling_face,وجه يسيل لعابه
💧,droplet,قطيرة
🥁,drum,طبل
🦆,duck,بطة
📀,dvd,دي في دي
📧,e-mail,البريد الإلكتروني
🦅,eagle,نسر
👂,ear,أذن
👂 🏿,ear_dark_skin_tone,الأذن لهجة البشرة الداكنة
👂 🏻,ear_light_skin_tone,لون البشرة فاتح الأذن
👂 🏾,ear_medium-dark_skin_tone,الأذن متوسط ​​لون البشرة الغامق
👂 🏼,ear_medium-light_skin_tone,الأذن بشرة متوسطة الفاتحة
👂 🏽,ear_medium_skin_tone,الأذن متوسط ​​لون البشرة
🌽,ear_of_corn,قرن ذرة
🥚,egg,بيضة
🍆,eggplant,الباذنجان
✴,eight-pointed_star,نجمة ثمانية
✳,eight-spoked_asterisk,علامة النجمة ثمانية برامق
🕣,eight-thirty,الثامنة و النصف
🕗,eight_o’clock,الساعة الثامنة
⏏,eject_button,زر الإخراج
🔌,electric_plug,المكونات الكهربائية
🐘,elephant,الفيل
🕦,eleven-thirty,1130
🕚,eleven_o’clock,الساعة الحادية عشر
✉,envelope,ظرف
📩,envelope_with_arrow,مغلف مع السهم
💶,euro_banknote,الأوراق النقدية باليورو
🌲,evergreen_tree,شجرة دائمة الخضرة
❗,exclamation_mark,علامة تعجب
⁉,exclamation_question_mark,علامة استفهام تعجب
😑,expressionless_face,وجه بلا تعبير
👁,eye,عين
👁 ️ ‍ 🗨 ️,eye_in_speech_bubble,العين في فقاعة الكلام
👀,eyes,عيون
😘,face_blowing_a_kiss,وجه يرسل قبلة
😋,face_savouring_delicious_food,وجه يتذوق الطعام اللذيذ
😱,face_screaming_in_fear,وجه يصرخ من الخوف
😓,face_with_cold_sweat,وجه مع عرق بارد
🤕,face_with_head-bandage,وجه بضمادة على الرأس
😷,face_with_medical_mask,وجه بقناع طبي
😮,face_with_open_mouth,وجه بفم مفتوح
😰,face_with_open_mouth_&_cold_sweat,وجه بفم مفتوح وعرق بارد
🙄,face_with_rolling_eyes,وجه بعيون متدحرجة
😤,face_with_steam_from_nose,وجه بالبخار من الأنف
😛,face_with_stuck-out_tongue,وجه بلسان عالق
😝,face_with_stuck-out_tongue_&_closed_eyes,وجه بلسان متدلي وعينان مغلقتان
😜,face_with_stuck-out_tongue_&_winking_eye,وجه بلسان عالٍ وعين غمزة
😂,face_with_tears_of_joy,وجه بدموع الفرح
🤒,face_with_thermometer,وجه مع ميزان حرارة
😶,face_without_mouth,وجه بدون فم
🏭,factory,مصنع
🍂,fallen_leaf,الأوراق المتساقطة
👪,family,أسرة
👨 ‍ 👦,family_man_boy,رجل الأسرة الصبي
👨 ‍ 👦 ‍ 👦,family_man_boy_boy,صبي رجل الأسرة
👨 ‍ 👧,family_man_girl,فتاة عائلة رجل
👨 ‍ 👧 ‍ 👦,family_man_girl_boy,عائلة رجل فتاة صبي
👨 ‍ 👧 ‍ 👧,family_man_girl_girl,فتاة عائلة رجل فتاة
👨 ‍ 👨 ‍ 👦,family_man_man_boy,رجل عائلة رجل صبي
👨 ‍ 👨 ‍ 👦 ‍ 👦,family_man_man_boy_boy,رجل عائلة رجل صبي صبي
👨 ‍ 👨 ‍ 👧,family_man_man_girl,رجل عائلة رجل فتاة
👨 ‍ 👨 ‍ 👧 ‍ 👦,family_man_man_girl_boy,رجل عائلة رجل فتاة صبي
👨 ‍ 👨 ‍ 👧 ‍ 👧,family_man_man_girl_girl,رجل عائلة رجل فتاة فتاة
👨 ‍ 👩 ‍ 👦,family_man_woman_boy,عائلة رجل امرأة صبي
👨 ‍ 👩 ‍ 👦 ‍ 👦,family_man_woman_boy_boy,عائلة رجل امرأة صبي صبي
👨 ‍ 👩 ‍ 👧,family_man_woman_girl,عائلة رجل امرأة فتاة
👨 ‍ 👩 ‍ 👧 ‍ 👦,family_man_woman_girl_boy,عائلة رجل امرأة فتاة صبي
👨 ‍ 👩 ‍ 👧 ‍ 👧,family_man_woman_girl_girl,عائلة رجل امرأة فتاة فتاة
👩 ‍ 👦,family_woman_boy,عائلة امرأة صبي
👩 ‍ 👦 ‍ 👦,family_woman_boy_boy,عائلة امرأة صبي
👩 ‍ 👧,family_woman_girl,فتاة الأسرة امرأة
👩 ‍ 👧 ‍ 👦,family_woman_girl_boy,الأسرة امرأة فتاة الصبي
👩 ‍ 👧 ‍ 👧,family_woman_girl_girl,فتاة الأسرة امرأة فتاة
👩 ‍ 👩 ‍ 👦,family_woman_woman_boy,عائلة امرأة امرأة صبي
👩 ‍ 👩 ‍ 👦 ‍ 👦,family_woman_woman_boy_boy,عائلة امرأة امرأة صبي صبي
👩 ‍ 👩 ‍ 👧,family_woman_woman_girl,عائلة امرأة امرأة فتاة
👩 ‍ 👩 ‍ 👧 ‍ 👦,family_woman_woman_girl_boy,عائلة امرأة امرأة فتاة صبي
👩 ‍ 👩 ‍ 👧 ‍ 👧,family_woman_woman_girl_girl,عائلة امرأة امرأة فتاة فتاة
⏩,fast-forward_button,زر التقديم السريع
⏬,fast_down_button,زر سريع لأسفل
⏪,fast_reverse_button,زر الرجوع السريع
⏫,fast_up_button,زر سريع
📠,fax_machine,جهاز فاكس
😨,fearful_face,وجه خائف
♀,female_sign,علامة أنثى
🎡,ferris_wheel,عجلة فيريس
⛴,ferry,العبارة
🏑,field_hockey,هوكي الميدان
🗄,file_cabinet,حافظة الملفات
📁,file_folder,مجلد ملف
🎞,film_frames,إطارات الفيلم
📽,film_projector,جهاز عرض فيلم
🔥,fire,نار
🚒,fire_engine,محرك ناري
🎆,fireworks,العاب ناريه
🌓,first_quarter_moon,الربع الأول من القمر
🌛,first_quarter_moon_with_face,الربع الأول مع وجهه
🐟,fish,سمك
🍥,fish_cake_with_swirl,كعكة السمك مع دوامة
🎣,fishing_pole,صنارة صيد
🕠,five-thirty,خمسة وثلاثين
🕔,five_o’clock,الساعة الخامسة
⛳,flag_in_hole,علم في حفرة
🔦,flashlight,مصباح يدوي
⚜,fleur-de-lis,فلور دي ليس
💪,flexed_biceps,العضلة ذات الرأسين المرن
💪 🏿,flexed_biceps_dark_skin_tone,تنحني العضلة ذات الرأسين بلون البشرة الداكن
💪 🏻,flexed_biceps_light_skin_tone,العضلة ذات الرأسين مرنة لون البشرة الفاتح
💪 🏾,flexed_biceps_medium-dark_skin_tone,العضلة ذات الرأسين المرنة بلون بشرة داكن متوسط
💪 🏼,flexed_biceps_medium-light_skin_tone,العضلة ذات الرأسين المرنة لون بشرة متوسط ​​إلى فاتح
💪 🏽,flexed_biceps_medium_skin_tone,العضلة ذات الرأسين المرنة لون بشرة متوسط
💾,floppy_disk,قرص مرن
🎴,flower_playing_cards,لعب الورق
😳,flushed_face,وجه متوهج
🌫,fog,ضباب
🌁,foggy,ضبابي
🙏,folded_hands,أيدي مطوية
🙏 🏿,folded_hands_dark_skin_tone,أيدي مطوية بلون البشرة الداكنة
🙏 🏻,folded_hands_light_skin_tone,أيدي مطوية بلون البشرة الفاتح
🙏 🏾,folded_hands_medium-dark_skin_tone,أيدي مطوية بلون بشرة متوسط ​​الغامق
🙏 🏼,folded_hands_medium-light_skin_tone,أيدي مطوية بلون بشرة متوسط ​​الفاتح
🙏 🏽,folded_hands_medium_skin_tone,أيدي مطوية بلون بشرة متوسط
👣,footprints,اثار الاقدام
🍴,fork_and_knife,شوكة وسكين
🍽,fork_and_knife_with_plate,شوكة وسكين مع صحن
⛲,fountain,نافورة
🖋,fountain_pen,قلم حبر
🕟,four-thirty,أربعة وثلاثين
🍀,four_leaf_clover,اربع اوراق برسيم
🕓,four_o’clock,الساعة الرابعة
🦊,fox_face,وجه الثعلب
🖼,framed_picture,صورة مؤطرة
🍟,french_fries,البطاطس المقلية
🍤,fried_shrimp,جمبري مقلي
🐸,frog_face,وجه الضفدع
🐥,front-facing_baby_chick,الفرخ الصغير المواجه للأمام
☹,frowning_face,وجه عابس
😦,frowning_face_with_open_mouth,وجه عابس بفم مفتوح
⛽,fuel_pump,مضخه وقود
🌕,full_moon,اكتمال القمر
🌝,full_moon_with_face,البدر مع الوجه
⚱,funeral_urn,جرة الجنازة
🎲,game_die,تموت اللعبة
⚙,gear,هيأ
💎,gem_stone,جوهرة الحجر
👻,ghost,شبح
👧,girl,فتاة
👧 🏿,girl_dark_skin_tone,فتاة بشرة داكنة اللون
👧 🏻,girl_light_skin_tone,فتاة بشرة فاتحة اللون
👧 🏾,girl_medium-dark_skin_tone,فتاة بشرة ذات لون غامق متوسط
👧 🏼,girl_medium-light_skin_tone,فتاة بشرة متوسطة الفاتحة
👧 🏽,girl_medium_skin_tone,فتاة بشرة متوسطة
🥛,glass_of_milk,كوب من الحليب
👓,glasses,نظارات
🌎,globe_showing_Americas,الكرة الأرضية تظهر الأمريكتين
🌏,globe_showing_Asia-Australia,كرة أرضية تظهر آسيا وأستراليا
🌍,globe_showing_Europe-Africa,الكرة الأرضية تظهر أوروبا وأفريقيا
🌐,globe_with_meridians,الكرة الأرضية مع خطوط الطول
🌟,glowing_star,نجمة متوهجة
🥅,goal_net,شبكة الهدف
🐐,goat,ماعز
👺,goblin,عفريت
🦍,gorilla,غوريلا
🎓,graduation_cap,قبعة التخرج
🍇,grapes,العنب
🍏,green_apple,تفاحة خضراء
📗,green_book,كتاب أخضر
💚,green_heart,قلب اخضر
🥗,green_salad,سلطة خضراء
😬,grimacing_face,وجه مكشر
😸,grinning_cat_face_with_smiling_eyes,وجه قط مبتسم بعيون مبتسمة
😀,grinning_face,وجه مبتسم
😁,grinning_face_with_smiling_eyes,وجه مبتسم بعيون مبتسمة
💗,growing_heart,ينمو القلب
💂,guard,حارس
💂 🏿,guard_dark_skin_tone,يحرس لون البشرة الداكنة
💂 🏻,guard_light_skin_tone,حارس لون البشرة الفاتح
💂 🏾,guard_medium-dark_skin_tone,يحرس لون البشرة المتوسط ​​الغامق
💂 🏼,guard_medium-light_skin_tone,حارس لون بشرة متوسط ​​فاتح
💂 🏽,guard_medium_skin_tone,حارس متوسط ​​لون البشرة
🎸,guitar,غيتار
🍔,hamburger,همبرغر
🔨,hammer,شاكوش
⚒,hammer_and_pick,مطرقة واختيار
🛠,hammer_and_wrench,مطرقة وجع
🐹,hamster_face,وجه الهامستر
👜,handbag,حقيبة يد
🤝,handshake,مصافحة
🐣,hatching_chick,تفقيس كتكوت
🎧,headphone,سماعة
🙉,hear-no-evil_monkey,قرد لا يسمع الشر
💟,heart_decoration,زخرفة القلب
♥,heart_suit,بدلة القلب
💘,heart_with_arrow,القلب مع السهم
💝,heart_with_ribbon,القلب مع الشريط
✔,heavy_check_mark,علامة اختيار ثقيلة
➗,heavy_division_sign,علامة تقسيم ثقيل
💲,heavy_dollar_sign,علامة الدولار الثقيلة
❣,heavy_heart_exclamation,تعجب ثقيل في القلب
⭕,heavy_large_circle,دائرة كبيرة ثقيلة
➖,heavy_minus_sign,علامة ناقص ثقيلة
✖,heavy_multiplication_x,الضرب الثقيل x
➕,heavy_plus_sign,علامة زائد ثقيلة
🚁,helicopter,هليكوبتر
🌿,herb,عشب
🌺,hibiscus,كركديه
👠,high-heeled_shoe,حذاء بكعب عال
🚄,high-speed_train,قطار شديد السرعة
🚅,high-speed_train_with_bullet_nose,قطار فائق السرعة مع أنف رصاصة
⚡,high_voltage,الجهد العالي
🕳,hole,الفجوة
🍯,honey_pot,وعاء العسل
🐝,honeybee,عسل النحل
🚥,horizontal_traffic_light,إشارة مرور أفقية
🐎,horse,حصان
🐴,horse_face,وجه الحصان
🏇,horse_racing,سباق الخيل
🏇 🏿,horse_racing_dark_skin_tone,سباق الخيل لون البشرة الداكن
🏇 🏻,horse_racing_light_skin_tone,سباق الخيل لون البشرة الفاتح
🏇 🏾,horse_racing_medium-dark_skin_tone,سباق الخيل بلون بشرة متوسط ​​داكن
🏇 🏼,horse_racing_medium-light_skin_tone,لون بشرة متوسط ​​الفاتح لسباق الخيل
🏇 🏽,horse_racing_medium_skin_tone,سباق الخيل متوسط ​​لون البشرة
🏥,hospital,مستشفى
☕,hot_beverage,المشروبات الساخنة
🌭,hot_dog,نقانق
🌶,hot_pepper,فلفل حار
♨,hot_springs,الينابيع الساخنة
🏨,hotel,الفندق
⌛,hourglass,الساعة الرملية
⏳,hourglass_with_flowing_sand,الساعة الرملية مع تدفق الرمال
🏠,house,منزل
🏡,house_with_garden,منزل بحديقة
🤗,hugging_face,وجه يعانق
💯,hundred_points,مائة نقطة
😯,hushed_face,وجه صامت
🍨,ice_cream,بوظة
🏒,ice_hockey,الهوكى الجليدى
⛸,ice_skate,تزلج على الجليد
📥,inbox_tray,علبة الوارد
📨,incoming_envelope,مغلف وارد
☝,index_pointing_up,مؤشر لافتا
☝ 🏿,index_pointing_up_dark_skin_tone,مؤشر يشير إلى لون البشرة الداكن
☝ 🏻,index_pointing_up_light_skin_tone,مؤشر يشير إلى لون البشرة الفاتح
☝ 🏾,index_pointing_up_medium-dark_skin_tone,مؤشر يشير إلى لون بشرة متوسط ​​داكن
☝ 🏼,index_pointing_up_medium-light_skin_tone,مؤشر يشير إلى لون بشرة متوسط ​​إلى فاتح
☝ 🏽,index_pointing_up_medium_skin_tone,مؤشر يشير إلى لون بشرة متوسط
ℹ,information,معلومات
🔤,input_latin_letters,إدخال الأحرف اللاتينية
🔡,input_latin_lowercase,إدخال صغير لاتيني
🔠,input_latin_uppercase,إدخال الأحرف الكبيرة اللاتينية
🔢,input_numbers,أرقام الإدخال
🔣,input_symbols,رموز الإدخال
🎃,jack-o-lantern,جاك فانوس
👖,jeans,جينز
🃏,joker,مهرج
🕹,joystick,عصا التحكم
🕋,kaaba,الكعبة
🔑,key,مفتاح
⌨,keyboard,لوحة المفاتيح
# ️ ⃣,keycap_#,keycap #
* ️ ⃣,keycap_*,keycap *
0 ️ ⃣,keycap_0,مفتاح 0
1 ️ ⃣,keycap_1,keycap 1
🔟,keycap_10,مفتاح 10
2 ️ ⃣,keycap_2,keycap 2
3 ️ ⃣,keycap_3,keycap 3
4 ️ ⃣,keycap_4,keycap 4
5 ️ ⃣,keycap_5,keycap 5
6 ️ ⃣,keycap_6,keycap 6
7 ️ ⃣,keycap_7,keycap 7
8 ️ ⃣,keycap_8,keycap 8
9 ️ ⃣,keycap_9,keycap 9
🛴,kick_scooter,ركلة سكوتر
👘,kimono,كيمونو
💏,kiss,قبلة
👨 ‍ ❤ ️ ‍ 💋 ‍ 👨,kiss_man_man,تقبيل الرجل
💋,kiss_mark,علامة قبلة
👩 ‍ ❤ ️ ‍ 💋 ‍ 👨,kiss_woman_man,تقبيل امرأة الرجل
👩 ‍ ❤ ️ ‍ 💋 ‍ 👩,kiss_woman_woman,تقبيل امرأة امرأة
😽,kissing_cat_face_with_closed_eyes,تقبيل وجه القط بعيون مغلقة
😗,kissing_face,تقبيل الوجه
😚,kissing_face_with_closed_eyes,تقبيل الوجه بعيون مغلقة
😙,kissing_face_with_smiling_eyes,تقبيل وجه بعيون مبتسمة
🔪,kitchen_knife,سكين المطبخ
🥝,kiwi_fruit,فاكهة الكيوي
🐨,koala,كوالا
🏷,label,ضع الكلمة المناسبة
🐞,lady_beetle,سيدة خنفساء
💻,laptop_computer,كمبيوتر محمول
🔷,large_blue_diamond,الماس الأزرق الكبير
🔶,large_orange_diamond,ماسة برتقالية كبيرة
🌗,last_quarter_moon,آخر ربع قمر
🌜,last_quarter_moon_with_face,آخر ربع قمر مع وجه
⏮,last_track_button,زر آخر مسار
✝,latin_cross,الصليب اللاتيني
🍃,leaf_fluttering_in_wind,أوراق ترفرف في مهب الريح
📒,ledger,موازنة
🤛,left-facing_fist,قبضة اليسار
🤛 🏿,left-facing_fist_dark_skin_tone,قبضة ذات لون بشرة داكن
🤛 🏻,left-facing_fist_light_skin_tone,قبضة ذات لون بشرة فاتحة
🤛 🏾,left-facing_fist_medium-dark_skin_tone,قبضة ذات لون بشرة متوسط ​​الغامق
🤛 🏼,left-facing_fist_medium-light_skin_tone,قبضة ذات لون بشرة متوسط ​​الفاتح
🤛 🏽,left-facing_fist_medium_skin_tone,قبضة ذات لون بشرة متوسط
🔍,left-pointing_magnifying_glass,عدسة مكبرة لليسار
↔,left-right_arrow,سهم لليسار واليمين
⬅,left_arrow,السهم الايسر
↪,left_arrow_curving_right,السهم الأيسر المنحني لليمين
🛅,left_luggage,تركت الأمتعة
🗨,left_speech_bubble,اليسار فقاعة الكلام
🍋,lemon,ليمون
🐆,leopard,فهد
🎚,level_slider,منزلق المستوى
💡,light_bulb,لمبة
🚈,light_rail,السكك الحديدية الخفيفة
🏻,light_skin_tone,لون البشرة الفاتح
🔗,link,حلقة الوصل
🖇,linked_paperclips,دبابيس الورق المرتبطة
🦁,lion_face,وجه الأسد
💄,lipstick,أحمر الشفاه
🚮,litter_in_bin_sign,القمامة في علامة بن
🦎,lizard,سحلية
🔒,locked,مقفل
🔐,locked_with_key,مقفل بالمفتاح
🔏,locked_with_pen,مؤمن بالقلم
🚂,locomotive,قاطرة
🍭,lollipop,مصاصة
😭,loudly_crying_face,وجه يبكي بصوت عال
📢,loudspeaker,مكبر الصوت
🏩,love_hotel,أحب فندق
💌,love_letter,رسالة حب
🤥,lying_face,وجه كاذب
🀄,mahjong_red_dragon,التنين الأحمر جونغ
♂,male_sign,علامة الذكور
👨,man,رجل
👫,man_and_woman_holding_hands,رجل وامرأة يدا بيد
👨 ‍ 🎨,man_artist,فنان رجل
👨 🏿 ‍ 🎨,man_artist_dark_skin_tone,رجل فنان ذو بشرة داكنة
👨 🏻 ‍ 🎨,man_artist_light_skin_tone,رجل فنان بشرة فاتحة
👨 🏾 ‍ 🎨,man_artist_medium-dark_skin_tone,رجل فنان بلون بشرة متوسط ​​داكن
👨 🏼 ‍ 🎨,man_artist_medium-light_skin_tone,رجل فنان لون بشرة متوسط ​​فاتح
👨 🏽 ‍ 🎨,man_artist_medium_skin_tone,رجل فنان لون بشرة متوسط
👨 ‍ 🚀,man_astronaut,رجل رائد فضاء
👨 🏿 ‍ 🚀,man_astronaut_dark_skin_tone,رائد فضاء بشرة داكنة اللون
👨 🏻 ‍ 🚀,man_astronaut_light_skin_tone,رجل رائد فضاء بشرة فاتحة
👨 🏾 ‍ 🚀,man_astronaut_medium-dark_skin_tone,رجل رائد فضاء متوسط ​​لون البشرة غامق
👨 🏼 ‍ 🚀,man_astronaut_medium-light_skin_tone,رجل رائد فضاء متوسط ​​لون البشرة الفاتح
👨 🏽 ‍ 🚀,man_astronaut_medium_skin_tone,رجل رائد فضاء متوسط ​​لون البشرة
🚴 ‍ ♂ ️,man_biking,رجل يركب دراجة
🚴 🏿 ‍ ♂ ️,man_biking_dark_skin_tone,رجل يركب دراجة بلون البشرة الداكنة
🚴 🏻 ‍ ♂ ️,man_biking_light_skin_tone,رجل يركب دراجة بلون البشرة الفاتح
🚴 🏾 ‍ ♂ ️,man_biking_medium-dark_skin_tone,رجل يركب دراجة بلون بشرة متوسط ​​داكن
🚴 🏼 ‍ ♂ ️,man_biking_medium-light_skin_tone,رجل يركب دراجة بلون بشرة متوسط ​​فاتح
🚴 🏽 ‍ ♂ ️,man_biking_medium_skin_tone,رجل يركب دراجة بلون بشرة متوسط
⛹ ️ ‍ ♂ ️,man_bouncing_ball,رجل كذاب الكرة
⛹ 🏿 ‍ ♂ ️,man_bouncing_ball_dark_skin_tone,رجل يرتد الكرة بشرة داكنة اللون
⛹ 🏻 ‍ ♂ ️,man_bouncing_ball_light_skin_tone,رجل يرتد الكرة لون البشرة الفاتح
⛹ 🏾 ‍ ♂ ️,man_bouncing_ball_medium-dark_skin_tone,رجل الكرة المرتدة بلون بشرة داكن متوسط
⛹ 🏼 ‍ ♂ ️,man_bouncing_ball_medium-light_skin_tone,رجل يرتد الكرة متوسط ​​لون البشرة الفاتح
⛹ 🏽 ‍ ♂ ️,man_bouncing_ball_medium_skin_tone,رجل كرة كذاب متوسط ​​لون البشرة
🙇 ‍ ♂ ️,man_bowing,رجل ينحني
🙇 🏿 ‍ ♂ ️,man_bowing_dark_skin_tone,رجل ينحني بشرة داكنة
🙇 🏻 ‍ ♂ ️,man_bowing_light_skin_tone,رجل ينحني بلون بشرة فاتح
🙇 🏾 ‍ ♂ ️,man_bowing_medium-dark_skin_tone,رجل ينحني بلون بشرة متوسط ​​داكن
🙇 🏼 ‍ ♂ ️,man_bowing_medium-light_skin_tone,رجل ينحني بلون بشرة متوسط ​​فاتح
🙇 🏽 ‍ ♂ ️,man_bowing_medium_skin_tone,رجل ينحني لون بشرة متوسط
🤸 ‍ ♂ ️,man_cartwheeling,رجل يتجول
🤸 🏿 ‍ ♂ ️,man_cartwheeling_dark_skin_tone,رجل cartwheeling بشرة داكنة اللون
🤸 🏻 ‍ ♂ ️,man_cartwheeling_light_skin_tone,رجل cartwheeling لون البشرة الفاتح
🤸 🏾 ‍ ♂ ️,man_cartwheeling_medium-dark_skin_tone,رجل يتحول إلى لون بشرة متوسط ​​داكن
🤸 🏼 ‍ ♂ ️,man_cartwheeling_medium-light_skin_tone,رجل cartwheeling لون بشرة فاتح متوسط
🤸 🏽 ‍ ♂ ️,man_cartwheeling_medium_skin_tone,رجل cartwheeling متوسط ​​لون البشرة
👷 ‍ ♂ ️,man_construction_worker,عامل بناء رجل
👷 🏿 ‍ ♂ ️,man_construction_worker_dark_skin_tone,رجل عامل بناء لون البشرة الداكنة
👷 🏻 ‍ ♂ ️,man_construction_worker_light_skin_tone,رجل عامل بناء لون البشرة الفاتح
👷 🏾 ‍ ♂ ️,man_construction_worker_medium-dark_skin_tone,رجل عامل بناء متوسط ​​لون البشرة غامق
👷 🏼 ‍ ♂ ️,man_construction_worker_medium-light_skin_tone,رجل عامل بناء متوسط ​​فاتح لون البشرة
