Unnamed: 0,Arabic Term,Positive Count,Negative Count,Buckwalter index,Sentiment Score
13512,يبون,147,127,ybwn,0.034
13513,بيبيه,5,8,bybyh,-0.517
13514,انمحي,4,15,{nmHy,-1.274
13515,للفديو,14,0,llfdyw,2.597
13516,قيرلز,4,14,qyrlz,-1.21
13517,بيطلع,231,224,byTlE,-0.08
13518,ال 9,6,3,Al9,0.449
13519,يافهد,18,11,yAfhd,0.348
13520,ارثي,9,14,Arvy,-0.517
13521,we,71,56,we,0.12300000000000001
13522,خاسس,6,3,xAss,0.449
13523,هون,337,725,hwn,-0.8759999999999999
13524,# 3alalwa,7,0,#3alalwa,1.9680000000000002
13525,اخترب,3,28,Axtrb,-2.092
13526,رحيم ),1,5,rHym),-1.21
13527,الشاارع,5,2,Al$AArE,0.5820000000000001
13528,خبيني,3,7,xbyny,-0.804
13529,كعبي,10,8,kEby,0.09
13530,هلء,8,5,hl',0.294
13531,# دويتو _ سعودي _ جزائري,12,0,#dwytw_sEwdy_jzA}ry,2.454
13532,طناخه,2,7,TnAxh,-1.092
13533,لاك,127,91,lAk,0.21899999999999997
13534,عمة,141,171,Emp,-0.303
13535,# لوس,2,5,#lws,-0.804
13536,قللللبي,1,13,qllllby,-2.057
13537,قوقاز,5,1,qwqAz,0.988
13538,نقد,197,76,nqd,0.833
13539,بقولو,17,11,bqwlw,0.294
13540,اروووح,2,9,ArwwwH,-1.315
13541,لجونغي,0,7,ljwngy,-2.19
13542,هيخرج,12,2,hyxrj,1.355
13543,ياجي,8,2,yAjy,0.988
13544,اججمل,2,12,Ajjml,-1.577
13545,نشوفو,8,6,n$wfw,0.14
13546,تناسب,34,37,tnAsb,-0.193
13547,بتعتذر,5,0,btEt*r,1.681
13548,صحل,4,6,SHl,-0.44799999999999995
13549,كسلان,28,47,kslAn,-0.615
13550,كونان,54,63,kwnAn,-0.263
13551,اضخم,5,2,ADxm,0.5820000000000001
13552,رهيب,275,469,rhyb,-0.643
13553,كنج,8,5,knj,0.294
13554,متفق,206,98,mtfq,0.627
13555,يااااااااااااايونس,0,53,yAAAAAAAAAAAAAywns,-4.1
13556,حسبة,104,143,Hsbp,-0.42700000000000005
13557,السو,6,8,Alsw,-0.36200000000000004
13558,جيفة,15,18,jyfp,-0.28300000000000003
13559,هضطر,10,7,hDTr,0.207
13560,ناطق,19,2,nATq,1.786
13561,# nada,3,56,#nada,-2.7680000000000002
13562,دااا,14,15,dAAA,-0.17600000000000002
13563,قلتلو,10,5,qltlw,0.495
13564,يابخيل,5,3,yAbxyl,0.294
13565,تعدل,63,71,tEdl,-0.22899999999999998
13566,حما,13,7,HmA,0.449
13567,بريم,11,9,brym,0.071
13568,بالشات,0,6,bAl$At,-2.057
13569,# ابل,7,1,#Abl,1.275
13570,ب 2014,5,20,b2014,-1.364
13571,وحشة,231,258,wH$p,-0.221
13572,ارقدي,12,8,Arqdy,0.257
13573,قبة,14,11,qbp,0.11199999999999999
13574,برية,4,12,bryp,-1.067
13575,يتجاب,8,0,ytjAb,2.086
13576,ايامم,1,17,AyAmm,-2.3080000000000003
13577,اطلبي,31,23,ATlby,0.177
13578,ناسس,1,10,nAss,-1.8159999999999998
13579,# عتاد _ صلب,0,13,#EtAd_Slb,-2.75
13580,ضابط,88,67,DAbT,0.158
13581,ياهيا,3,5,yAhyA,-0.517
13582,جميلهه,5,27,jmylhh,-1.651
13583,# اخير,11,4,#Axyr,0.764
13584,# الولد _ المدلوق,6,0,#Alwld_Almdlwq,1.835
13585,شاهين,372,120,$Ahyn,1.015
13586,ملفت,16,7,mlft,0.643
13587,يووووم,10,10,ywwwwm,-0.111
13588,20,62,22,20,0.897
13589,وسع,131,85,wsE,0.317
13590,ياربيع,7,3,yArbyE,0.5820000000000001
13591,التام,13,10,{ltAm,0.13
13592,حسستيني,18,15,Hsstyny,0.061
13593,وماقدرت,5,23,wmAqdrt,-1.4969999999999999
13594,جوهر,148,161,jwhr,-0.195
13595,# انان,1,6,#AnAn,-1.364
13596,# ماساة,6,44,#mAsAp,-1.972
13597,سبوبة,14,0,sbwbp,2.597
13598,كوليرا,10,0,kwlyrA,2.287
13599,متسابق,99,240,mtsAbq,-0.991
13600,لمة,86,91,lmp,-0.16699999999999998
13601,بيمتحن,8,7,bymtHn,0.006999999999999999
13602,هالناحيه,3,5,hAlnAHyh,-0.517
13603,متعيطش,7,3,mtEyT$,0.5820000000000001
13604,خنفشاري,7,2,xnf$Ary,0.87
13605,رقيب,51,31,rqyb,0.374
13606,جازي,33,43,jAzy,-0.369
13607,اعطيج,12,15,AETyj,-0.319
13608,جولي,28,22,jwly,0.121
13609,اءني,0,13,A'ny,-2.75
13610,", ربنا",9,1,",rbnA",1.4980000000000002
13611,"^ , ^",5,2,"^,^",0.5820000000000001
13612,هقيت,3,9,hqyt,-1.0270000000000001
13613,# ارق,0,15,#Arq,-2.884
13614,موهوم,3,5,mwhwm,-0.517
13615,زباد,7,5,zbAd,0.177
13616,رصيدك 3,1,5,rSydk3,-1.21
13617,مشتاقتلها,0,6,m$tAqtlhA,-2.057
13618,هتتعوض,8,6,httEwD,0.14
13619,war,3,9,war,-1.0270000000000001
13620,نادل,12,6,nAdl,0.508
13621,6 1,54,1,6/1,3.2030000000000003
13622,در,160,112,dr,0.243
13623,بيحسدوني,1,10,byHsdwny,-1.8159999999999998
13624,بهالصور,1,5,bhAlSwr,-1.21
13625,sherlock,6,0,sherlock,1.835
13626,ناضل,6,6,nADl,-0.111
13627,هتجبلي,9,5,htjbly,0.4
13628,منشنز,8,2,mn$nz,0.988
13629,نسب,151,259,nsb,-0.648
13630,صافح,16,10,SAfH,0.324
13631,محرق,6,3,mHrq,0.449
13632,هعيط,64,150,hEyT,-0.9540000000000001
13633,برغي,12,3,brgy,1.068
13634,# ويب,0,5,#wyb,-1.903
13635,# nogoumfm,21,1,#nogoumfm,2.287
13636,مستحملش,1,6,mstHml$,-1.364
13637,زاتس,7,1,zAts,1.275
13638,البراشيم,7,4,AlbrA$ym,0.359
13639,احبيب,66,3,AHbyb,2.707
13640,عص,24,9,ES,0.805
13641,نحت,25,20,nHt,0.10300000000000001
13642,عقلاني,40,15,EqlAny,0.83
13643,هالتصميم,2,5,hAltSmym,-0.804
13644,yes,30,14,yes,0.615
13645,عائلتك ;,6,0,EA}ltk;,1.835
13646,شصاير,5,22,$SAyr,-1.455
13647,قوقل,98,69,qwql,0.23600000000000002
13648,mute,13,3,mute,1.1420000000000001
13649,اوسامي,9,0,AwsAmy,2.1919999999999997
13650,# مساء,15,1,#msA',1.9680000000000002
13651,تسول,31,14,tswl,0.647
13652,القروبات,7,8,AlqrwbAt,-0.22899999999999998
13653,خنة,11,7,xnp,0.294
13654,فقر,241,211,fqr,0.021
13655,ماتجيك,1,6,mAtjyk,-1.364
13656,الايكات,5,13,AlAykAt,-0.958
13657,وقف,716,754,wqf,-0.163
13658,مزاكره,29,29,mzAkrh,-0.111
13659,عيونهه,1,5,Eywnhh,-1.21
13660,غايبين,3,12,gAybyn,-1.29
13661,هيقولنا,5,0,hyqwlnA,1.681
13662,توجيهي,32,42,twjyhy,-0.376
13663,هالترم,11,72,hAltrm,-1.9169999999999998
13664,سوااا,7,5,swAAA,0.177
13665,كامن,9,5,kAmn,0.4
13666,xddddd,0,6,xddddd,-2.057
13667,ذبيعمل,7,0,*byEml,1.9680000000000002
13668,عنيد,38,57,Enyd,-0.508
13669,تكوين,28,4,tkwyn,1.6469999999999998
13670,غنيم,24,1,gnym,2.415
13671,نشووف,12,3,n$wwf,1.068
13672,هعترض,10,0,hEtrD,2.287
13673,فيشة,11,14,fy$p,-0.33399999999999996
13674,ياحلوه,18,12,yAHlwh,0.268
13675,بتفارق,0,7,btfArq,-2.19
13676,شاغل,69,81,$Agl,-0.26899999999999996
13677,صم,7,6,Sm,0.022000000000000002
13678,وويونق,0,6,wwywnq,-2.057
13679,عوووضه,0,5,EwwwDh,-1.903
13680,اجلس,42,152,Ajls,-1.38
13681,بالليغا,6,2,bAllygA,0.736
13682,يونسك,1,5,ywnsk,-1.21
13683,. . . . . . . . . . . . . . . . . . . .,7,10,....................,-0.429
13684,مقرمش,6,4,mqrm$,0.225
13685,سفيان,10,17,sfyAn,-0.604
13686,اعررف,2,8,AErrf,-1.21
13687,وفالاخر,6,3,wfAlAxr,0.449
13688,ذلة,14,13,*lp,-0.042
13689,لهلق,6,5,lhlq,0.043
13690,المقفي,5,1,Almqfy,0.988
13691,ماضحكت,9,24,mADHkt,-1.0270000000000001
13692,مشاءالله,29,68,m$A'Allh,-0.9440000000000001
13693,mum,2,8,mum,-1.21
13694,تشبع,15,11,t$bE,0.177
13695,dvd,4,8,dvd,-0.6990000000000001
13696,شايني,5,31,$Ayny,-1.785
13697,; ذ,5,0,;*,1.681
13698,نفخ,139,84,nfx,0.38799999999999996
13699,بييست,1,5,byyst,-1.21
13700,مبالاة,25,13,mbAlAp,0.508
13701,# بيض,5,3,#byD,0.294
13702,ماجن,16,5,mAjn,0.93
13703,الارك,8,20,AlArk,-0.958
13704,ابتسمي,24,22,Abtsmy,-0.027999999999999997
13705,بسمالله,2,7,bsmAllh,-1.092
13706,ههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,6,34,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,-1.72
13707,قهي,37,22,qhy,0.391
13708,ايميس,0,5,Aymys,-1.903
13709,غيرتو,4,7,gyrtw,-0.581
13710,عشاا,1,5,E$AA,-1.21
13711,عقول,48,40,Eqwl,0.067
13712,بيتهيالي,26,7,bythyAly,1.105
13713,ياويلك,21,37,yAwylk,-0.6579999999999999
13714,# مجرة _ بسيوني,1,9,#mjrp_bsywny,-1.72
13715,لسسا,3,8,lssA,-0.922
13716,رانينق,1,10,rAnynq,-1.8159999999999998
13717,رسن,5,6,rsn,-0.265
13718,مكفيهم,5,2,mkfyhm,0.5820000000000001
13719,اشتاقلج,0,7,A$tAqlj,-2.19
13720,# يلا _ فولورز _ مع _ ال 20 _ الف _ بتوع _ رودينا,8,2,#ylA_fwlwrz_mE_Al20_Alf_btwE_rwdynA,0.988
13721,مخبيه,5,6,mxbyh,-0.265
13722,# محمد _ ابراهيم,14,20,#mHmd_AbrAhym,-0.44799999999999995
13723,دحنا,27,10,dHnA,0.823
13724,# شخص,39,64,#$xS,-0.597
13725,العرعور,7,0,AlErEwr,1.9680000000000002
13726,باللاب,4,23,bAllAb,-1.68
13727,وييجي,10,14,wyyjy,-0.42100000000000004
13728,# y,4,7,#y,-0.581
13729,# هدي,35,39,#hdy,-0.21600000000000003
13730,بالكوا,11,2,bAlkwA,1.275
13731,مباهلة,17,3,mbAhlp,1.393
13732,اتمرمغ,7,1,Atmrmg,1.275
13733,شكيت,39,73,$kyt,-0.726
13734,ياتبن,10,14,yAtbn,-0.42100000000000004
13735,يامستر,12,1,yAmstr,1.761
13736,arab,14,8,arab,0.4
13737,هتلاقيني,66,4,htlAqyny,2.484
13738,مسيك,14,34,msyk,-0.958
13739,علوان,10,5,ElwAn,0.495
13740,ضحل,15,2,DHl,1.5630000000000002
13741,اعنف,0,5,AEnf,-1.903
13742,موثر,2,6,mwvr,-0.958
13743,تبن,105,194,tbn,-0.721
13744,# سلم,8,3,#slm,0.7
13745,واتحلطم,3,9,wAtHlTm,-1.0270000000000001
13746,قسط,44,18,qsT,0.7509999999999999
13747,بانجو,28,1,bAnjw,2.563
13748,يابتوع,19,6,yAbtwE,0.9390000000000001
13749,# عوض,6,2,#EwD,0.736
13750,شفاعة,10,22,$fAEp,-0.8490000000000001
13751,بتجيني,7,27,btjyny,-1.364
13752,eddin,5,0,eddin,1.681
13753,# موجوع,1,7,#mwjwE,-1.4969999999999999
13754,ناف,32,11,nAf,0.9009999999999999
13755,اوووووي,39,67,Awwwwwy,-0.642
13756,# تغيير,5,0,#tgyyr,1.681
13757,مابات,4,5,mAbAt,-0.293
13758,ااذا,5,6,AA*A,-0.265
13759,# بار,8,8,#bAr,-0.111
13760,جتلي,9,3,jtly,0.805
13761,شامت,59,21,$Amt,0.892
13762,نخرب,17,9,nxrb,0.47700000000000004
13763,قرنفل,13,5,qrnfl,0.736
13764,نباح,30,5,nbAH,1.531
13765,بتتلكك,10,2,bttlkk,1.188
13766,خرع,32,56,xrE,-0.6579999999999999
13767,ندر,27,34,ndr,-0.33399999999999996
13768,بلند,7,4,blnd,0.359
13769,عدوية,12,7,Edwyp,0.374
13770,جالس,397,1070,jAls,-1.101
13771,بلاكبيري,1,5,blAkbyry,-1.21
13772,هههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههههه,11,56,hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,-1.669
13773,بيكوز,14,9,bykwz,0.294
13774,كيوووووت,1,10,kywwwwwt,-1.8159999999999998
13775,حاف,18,30,HAf,-0.601
13776,maya,6,3,maya,0.449
13777,مستنيهم,6,1,mstnyhm,1.1420000000000001
13778,هندي,334,296,hndy,0.009000000000000001
13779,ديسكو,9,10,dyskw,-0.20600000000000002
13780,جنرال,65,11,jnrAl,1.594
13781,كامرا,222,159,kAmrA,0.221
13782,# lola,3,5,#lola,-0.517
13783,اتحكمت,0,6,AtHkmt,-2.057
13784,جيولوجي,8,13,jywlwjy,-0.5529999999999999
13785,اميمو,5,1,Amymw,0.988
13786,مارضيتش,7,1,mArDyt$,1.275
13787,عويس,17,7,Ewys,0.7
13788,: - o,31,43,:-o,-0.429
13789,مجلة,131,48,mjlp,0.88
13790,بتتعوض,8,0,bttEwD,2.086
13791,ماتخفيش,12,1,mAtxfy$,1.761
13792,مهوش,3,5,mhw$,-0.517
13793,هستناكي,13,4,hstnAky,0.919
13794,فزاع,5,9,fzAE,-0.622
13795,اررحب,11,0,ArrHb,2.374
13796,طراطيع,2,17,TrATyE,-1.903
13797,عمار,136,68,EmAr,0.575
13798,دعيتلي,6,0,dEytly,1.835
13799,يالهوووي,11,2,yAlhwwwy,1.275
13800,ميموري,8,1,mymwry,1.393
13801,# يعني _ ايه _ كيوبا,5,0,#yEny_Ayh_kywbA,1.681
13802,جايبينه,6,6,jAybynh,-0.111
13803,ثلة,5,1,vlp,0.988
13804,وحوسه,2,9,wHwsh,-1.315
13805,# احلي _ تويب _ في _ 2014,18,0,#AHly_twyb_fy_2014,2.833
13806,مين ? ?,5,3,myn??,0.294
13807,اهيما,5,1,AhymA,0.988
13808,fairouz,3,5,fairouz,-0.517
13809,اللوكيشن,7,3,Allwky$n,0.5820000000000001
13810,هالحجي,6,3,hAlHjy,0.449
13811,بيتفهم,2,8,bytfhm,-1.21
13812,# lol,8,2,#lol,0.988
13813,يامرتد,5,0,yAmrtd,1.681
13814,قسوة,29,160,qswp,-1.791
13815,فيلا,30,26,fylA,0.027000000000000003
13816,احييكي,17,0,AHyyky,2.779
13817,ياحماده,5,2,yAHmAdh,0.5820000000000001
13818,# رفض _ شهادة _ شيعي,9,0,#rfD_$hAdp_$yEy,2.1919999999999997
13819,ويغفرلهم,0,15,wygfrlhm,-2.884
13820,قلس,6,2,qls,0.736
13821,هف,56,280,hf,-1.706
13822,# فاتحة,1,8,#fAtHp,-1.615
13823,اضربيه,7,1,ADrbyh,1.275
13824,زلومة,12,4,zlwmp,0.8440000000000001
13825,علاقة,869,574,ElAqp,0.303
13826,تررن,5,4,trrn,0.071
13827,"اوه ,",6,2,"Awh,",0.736
13828,شاص,5,4,$AS,0.071
13829,خخخخخخخخخ,15,6,xxxxxxxxx,0.716
13830,مشقة,8,14,m$qp,-0.622
13831,نووي,74,23,nwwy,1.028
13832,هند,163,158,hnd,-0.08
13833,ريتم,5,1,rytm,0.988
13834,اهاااا,56,14,AhAAAA,1.224
13835,اكسري,10,2,Aksry,1.188
13836,القرامر,1,6,AlqrAmr,-1.364
13837,بكراا,8,27,bkrAA,-1.246
13838,حاجه ?,7,3,HAjh?,0.5820000000000001
13839,ستايلها,4,12,stAylhA,-1.067
13840,خففي,3,6,xffy,-0.6709999999999999
13841,اناديلك,1,12,AnAdylk,-1.983
13842,تنازلي,6,31,tnAzly,-1.631
13843,ياربي,101,1694,yArby,-2.9219999999999997
13844,مدفي,6,8,mdfy,-0.36200000000000004
13845,ححب,0,5,HHb,-1.903
13846,يام,31,16,yAm,0.521
13847,مفحوت,3,5,mfHwt,-0.517
13848,دارم,5,15,dArm,-1.092
13849,بيغيرون,2,5,bygyrwn,-0.804
13850,ملعب,527,300,mlEb,0.451
13851,مشفتكش,8,2,m$ftk$,0.988
13852,# سوريا _ تتجمد,2,12,#swryA_ttjmd,-1.577
13853,يانظر,2,17,yAnZr,-1.903
13854,صعبهه,0,10,SEbhh,-2.509
13855,صيدلة,123,73,Sydlp,0.405
13856,ااكتر,4,8,AAktr,-0.6990000000000001
13857,مرشح,51,34,mr$H,0.285
13858,متخيل,245,233,mtxyl,-0.061
13859,الفوتشوب,1,5,Alfwt$wb,-1.21
13860,هنضيع,11,6,hnDyE,0.428
13861,بيخسر,24,14,byxsr,0.4
13862,مسويه,112,191,mswyh,-0.6409999999999999
13863,اهوج,6,0,Ahwj,1.835
13864,ماقبل,12,16,mAqbl,-0.379
13865,""" "" "" "" "" "" "" """,1,9,"""""""""""""""""",-1.72
13866,تاييد,20,1,tAyyd,2.24
13867,راهن,80,42,rAhn,0.522
13868,سكرين,160,33,skryn,1.444
13869,باصير,4,11,bASyr,-0.987
13870,# فايزه _ الغزواني,0,8,#fAyzh_AlgzwAny,-2.3080000000000003
13871,هنموت,50,31,hnmwt,0.355
13872,خاوة,8,7,xAwp,0.006999999999999999
13873,ققللببيي,0,6,qqllbbyy,-2.057
13874,ويازين,6,26,wyAzyn,-1.4609999999999999
13875,متسلط,9,14,mtslT,-0.517
13876,# سري,8,4,#sry,0.47700000000000004
13877,معهد,93,80,mEhd,0.038
13878,علني,31,18,Elny,0.41
13879,توظيف,30,4,twZyf,1.714
13880,حيلكوا,8,1,HylkwA,1.393
13881,# الدولة _ الاسلامية _ تسقط _ طائرة _ للتحالف,18,0,#Aldwlp_AlAslAmyp_tsqT_TA}rp_lltHAlf,2.833
13882,اعتصر,1,8,{EtSr,-1.615
13883,رولاندو,7,8,rwlAndw,-0.22899999999999998
13884,صراحة,2385,1220,SrAHp,0.5589999999999999
13885,بعد ?,19,28,bEd?,-0.483
13886,مخنوق,61,213,mxnwq,-1.35
13887,ععيني,0,5,EEyny,-1.903
13888,اخدتك,5,1,Axdtk,0.988
13889,اقطع,114,82,AqTE,0.215
13890,# طبع _ فيني _ مايعجبكم,5,0,#TbE_fyny_mAyEjbkm,1.681
13891,دجي,6,13,djy,-0.804
13892,كهرب,45,80,khrb,-0.677
13893,تفاح,146,78,tfAH,0.51
13894,يجين,2,13,yjyn,-1.651
13895,سائس,10,7,sA}s,0.207
13896,هيكرمنا,7,2,hykrmnA,0.87
13897,منسي,35,50,mnsy,-0.45899999999999996
13898,متبل,3,7,mtbl,-0.804
13899,says,12,10,says,0.055999999999999994
13900,اذاعة,115,41,A*AEp,0.905
13901,ازعف,4,7,AzEf,-0.581
13902,ضيفيني,23,25,Dyfyny,-0.191
13903,عفيف,28,15,Efyf,0.484
13904,# الذكرياات,1,5,#Al*kryAAt,-1.21
13905,اممممممممممم,6,1,Ammmmmmmmmmm,1.1420000000000001
13906,مصاء,7,0,mSA',1.9680000000000002
13907,يتاخد,6,3,ytAxd,0.449
13908,يغبيه,0,5,ygbyh,-1.903
13909,بهالصورة,5,1,bhAlSwrp,0.988
13910,سواليفها,0,8,swAlyfhA,-2.3080000000000003
13911,مابعرف,23,55,mAbErf,-0.958
13912,فنتازيا,8,4,fntAzyA,0.47700000000000004
13913,روزاموند,5,1,rwzAmwnd,0.988
13914,مرسي ?,5,0,mrsy?,1.681
13915,ميمون,19,13,mymwn,0.24600000000000002
13916,مستعصي,12,11,mstESy,-0.031
13917,بيعطوني,2,8,byETwny,-1.21
13918,عصفور,167,121,ESfwr,0.209
13919,مخضرم,14,7,mxDrm,0.518
13920,سمفوني,7,10,smfwny,-0.429
13921,ابثرتكم,0,8,Abvrtkm,-2.3080000000000003
13922,ثانيهه,1,6,vAnyhh,-1.364
13923,دوووول,5,1,dwwwwl,0.988
13924,# حمزة _ نمرة,15,21,#Hmzp_nmrp,-0.429
13925,هلوسة,20,13,hlwsp,0.294
13926,ومعنديش,14,6,wmEndy$,0.6509999999999999
13927,# الزام _ المذيعات _ بلبس _ العباءة,14,6,#AlzAm_Alm*yEAt_blbs_AlEbA'p,0.6509999999999999
13928,بيحبهم,5,9,byHbhm,-0.622
13929,يابنتي,387,93,yAbnty,1.307
13930,حبي,370,588,Hby,-0.573
13931,مسال,41,16,msAl,0.7929999999999999
13932,الكاكاو,11,7,AlkAkAw,0.294
13933,لمتابعينك,11,5,lmtAbEynk,0.5820000000000001
13934,a7la,8,3,a7la,0.7
13935,غرض,156,125,grD,0.109
13936,غمد,8,5,gmd,0.294
13937,اشتم,60,22,{$tm,0.8640000000000001
13938,مطلبتش,10,2,mTlbt$,1.188
13939,عطهم,15,5,EThm,0.87
13940,# ibtissam _ on _ hitradio,14,9,#ibtissam_on_hitradio,0.294
13941,جووول,5,4,jwwwl,0.071
13942,نظف,61,61,nZf,-0.111
13943,بهظر,6,5,bhZr,0.043
13944,هاهاهاهاهاه,15,0,hAhAhAhAhAh,2.662
13945,منشوفش,5,3,mn$wf$,0.294
13946,heba,10,5,heba,0.495
13947,ملياان,2,5,mlyAAn,-0.804
13948,مادرينا,9,5,mAdrynA,0.4
13949,سبابة,4,5,sbAbp,-0.293
13950,صباحوو,22,4,SbAHww,1.415
13951,ماهازا,4,7,mAhAzA,-0.581
13952,بتتخرج,4,8,bttxrj,-0.6990000000000001
13953,جامل,56,71,jAml,-0.345
13954,rady,4,7,rady,-0.581
13955,banget,1,6,banget,-1.364
13956,محتال,7,1,mHtAl,1.275
13957,! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,1,6,!!!!!!!!!!!!!!!!,-1.364
13958,بتجيبين,9,8,btjybyn,-0.006
13959,aho,7,0,aho,1.9680000000000002
13960,عبث,75,87,Ebv,-0.258
13961,# في _ تويتر,7,0,#fy_twytr,1.9680000000000002
13962,هيعملوها,6,2,hyEmlwhA,0.736
13963,بالي,663,612,bAly,-0.031
13964,هاشتاق,143,113,hA$tAq,0.12300000000000001
13965,مفهمتيش,8,1,mfhmty$,1.393
13966,مافيا,27,29,mAfyA,-0.18
13967,بازعل,2,10,bAzEl,-1.41
13968,اذاق,2,8,A*Aq,-1.21
13969,ملج,6,13,mlj,-0.804
13970,# سحبة _ سان _ مارتن _ علي _ الهلال,23,7,#sHbp_sAn_mArtn_Ely_AlhlAl,0.988
13971,بدبد,0,7,bdbd,-2.19
13972,تماضر,5,6,tmADr,-0.265
13973,تمريرة,20,20,tmryrp,-0.111
13974,ماتع,6,2,mAtE,0.736
13975,اوزباكستان,10,8,AwzbAkstAn,0.09
13976,غندور,18,11,gndwr,0.348
13977,تشارجر,5,1,t$Arjr,0.988
13978,ايب,49,101,Ayb,-0.8240000000000001
13979,بلة,40,38,blp,-0.061
13980,ناهز,0,6,nAhz,-2.057
13981,للبرسا,13,7,llbrsA,0.449
13982,جالكسي,19,49,jAlksy,-1.0270000000000001
13983,ثار,116,84,vAr,0.20800000000000002
13984,شويخ,5,6,$wyx,-0.265
13985,تاجر,182,73,tAjr,0.794
13986,# لو 999 ما,0,5,#lw999mA,-1.903
13987,غفار,6,14,gfAr,-0.873
13988,ذولة,6,1,*wlp,1.1420000000000001
13989,مصخوها,8,5,mSxwhA,0.294
13990,كللللش,0,6,kllll$,-2.057
13991,جرجس,9,0,jrjs,2.1919999999999997
13992,هيدفع,6,0,hydfE,1.835
13993,بابلو,3,6,bAblw,-0.6709999999999999
13994,بيصحي,14,10,bySHy,0.19899999999999998
13995,تسعون,26,54,tsEwn,-0.823
13996,كريم,1254,760,krym,0.389
13997,ثانية,300,278,vAnyp,-0.035
13998,مجبتش,40,20,mjbt$,0.5579999999999999
13999,# انت _ قدها _ يا _ حمد _ اليحيي _ وسعيد _ يستاهل,0,8,#Ant_qdhA_yA_Hmd_AlyHyy_wsEyd_ystAhl,-2.3080000000000003
14000,بورق,16,26,bwrq,-0.574
14001,ايوووون,10,2,Aywwwwn,1.188
14002,كوي,425,360,kwy,0.055
14003,اتنافض,1,9,AtnAfD,-1.72
14004,صداقة,119,189,SdAqp,-0.5710000000000001
14005,التريقة,14,8,Altryqp,0.4
14006,هالكلب,5,12,hAlklb,-0.884
14007,مابيننا,5,7,mAbynnA,-0.39899999999999997
14008,مريول,11,23,mrywl,-0.804
14009,ضدد,5,2,Ddd,0.5820000000000001
14010,مفتول,9,1,mftwl,1.4980000000000002
14011,عااام,7,5,EAAAm,0.177
14012,هاعرف,6,14,hAErf,-0.873
14013,متفرقش,10,3,mtfrq$,0.9009999999999999
14014,# المسجد _ الاقصي,3,7,#Almsjd_AlAqSy,-0.804
14015,ااها,7,2,AAhA,0.87
14016,البزارين,13,26,AlbzAryn,-0.768
14017,خيب,48,160,xyb,-1.301
14018,ماستاهل,0,5,mAstAhl,-1.903
14019,لبيييه,2,7,lbyyyh,-1.092
14020,اقتصر,9,4,{qtSr,0.5820000000000001
14021,200,13,5,200,0.736
14022,زهراني,16,30,zhrAny,-0.7120000000000001
14023,ناشيونال,15,2,nA$ywnAl,1.5630000000000002
14024,حبسة,6,3,Hbsp,0.449
14025,غيرك ?,5,2,gyrk?,0.5820000000000001
14026,مستحمله,5,8,mstHmlh,-0.517
14027,الجديد ?,8,92,Aljdyd?,-2.4459999999999997
14028,برشم,17,21,br$m,-0.312
14029,دوست,14,17,dwst,-0.293
14030,الريبلاي,25,3,AlryblAy,1.761
14031,لفينا,6,0,lfynA,1.835
14032,هتفرح,21,3,htfrH,1.594
14033,تخرج,429,663,txrj,-0.546
14034,عمرهه,4,7,Emrhh,-0.581
14035,حنفي,77,14,Hnfy,1.538
14036,طامع,4,5,TAmE,-0.293
14037,كاوتش,10,0,kAwt$,2.287
14038,هاللون,6,13,hAllwn,-0.804
14039,تنرحم,2,18,tnrHm,-1.9569999999999999
14040,حاوي,24,13,HAwy,0.469
14041,صرف,341,249,Srf,0.20199999999999999
14042,هالتخصص,3,10,hAltxSS,-1.123
14043,تشانقووك,0,8,t$Anqwwk,-2.3080000000000003
14044,نابل,11,2,nAbl,1.275
14045,# نحن,5,4,#nHn,0.071
14046,كلف,91,63,klf,0.252
14047,جريء,31,20,jry',0.31
14048,: d,223168,2989,:d,4.202
14049,هيفهموا,8,2,hyfhmwA,0.988
14050,hoda,5,2,hoda,0.5820000000000001
14051,# قدرة,3,8,#qdrp,-0.922
14052,عاجبه,61,17,EAjbh,1.126
14053,جزء,714,537,jz',0.17300000000000001
14054,عمااار,5,2,EmAAAr,0.5820000000000001
14055,# yoya,0,16,#yoya,-2.944
14056,ياااااااررررب,0,6,yAAAAAAArrrrb,-2.057
14057,نفسكوا,27,8,nfskwA,1.024
14058,الكلاسيكو,6,8,AlklAsykw,-0.36200000000000004
14059,# ايد,6,9,#Ayd,-0.46799999999999997
14060,بتعملوا,43,34,btEmlwA,0.11800000000000001
14061,قريدات,6,13,qrydAt,-0.804
14062,يانهار,30,27,yAnhAr,-0.009000000000000001
14063,شقلبة,8,8,$qlbp,-0.111
14064,يمنشنه,2,6,ymn$nh,-0.958
14065,رزق,1131,1429,rzq,-0.345
14066,ميكس,62,29,myks,0.631
14067,# الكويتيين _ اوسم _ من _ السعوديين,18,0,#Alkwytyyn_Awsm_mn_AlsEwdyyn,2.833
